,,,*,humanities,humanities,humanities,humanities
,,,Σ,linguistics,linguistics,sociology,sociology
,,,w/,w/o,w/,w/o,w/
*,Σ,w/,3446,296,3150,3146,300
humanities,linguistics,w/o,296,296,0,0,296
humanities,linguistics,w/,3150,0,3150,3146,4
humanities,sociology,w/o,3146,0,3146,3146,0
humanities,sociology,w/,300,296,4,0,300
