,,,*,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity,toxicity
,,,Σ,antioxidant,antioxidant,drought,drought,metal,metal,salt,salt,uv,uv,antifeedant,antifeedant,arbuscula,arbuscula,attractant,attractant,germination,germination,herbicidal,herbicidal,hppd,hppd,hyphal,hyphal,phytotoxicity,phytotoxicity,quorum sensing,quorum sensing,repulsive,repulsive,toxicant,toxicant,anti-inflammatory,anti-inflammatory,antibacterial,antibacterial,anticancer,anticancer,antidiabetic,antidiabetic,antifungal,antifungal,antimicrobial,antimicrobial,antiparasitic,antiparasitic,antiviral,antiviral,arthritis,arthritis,burns,burns,cardiovascular,cardiovascular,cytotoxicity,cytotoxicity,obesity,obesity,rheumatism,rheumatism,sedative,sedative,wound,wound,toxicity,toxicity
,,,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/
alkaloid,indole,w/o,236353,173430,62923,235271,1082,211950,24403,223470,12883,229908,6445,236157,196,236342,11,236239,114,234011,2342,236159,194,236337,16,236316,37,235130,1223,235589,764,236295,58,236233,120,220034,16319,216852,19501,232041,4312,230494,5859,222006,14347,214666,21687,235299,1054,227966,8387,229175,7178,235159,1194,226779,9574,198615,37738,231591,4762,236293,60,233922,2431,229672,6681,211090,25263
alkaloid,indole,w/,13729,12372,1357,13673,56,12191,1538,13000,729,13435,294,13725,4,13729,0,13716,13,13544,185,13723,6,13729,0,13727,2,13685,44,13556,173,13726,3,13728,1,12675,1054,12662,1067,13230,499,13490,239,12968,761,12905,824,13673,56,12851,878,13415,314,13710,19,12929,800,9958,3771,13381,348,13717,12,13649,80,13363,366,12321,1408
alkaloid,indolizidine,w/o,250009,185730,64279,248871,1138,224070,25939,236406,13603,243270,6739,249809,200,249998,11,249882,127,247482,2527,249809,200,249993,16,249970,39,248743,1266,249072,937,249948,61,249889,120,232638,17371,229446,20563,245204,4805,243917,6092,234905,15104,227504,22505,248901,1108,240758,9251,242518,7491,248796,1213,239635,10374,208527,41482,244899,5110,249937,72,247498,2511,242963,7046,223342,26667
alkaloid,indolizidine,w/,73,72,1,73,0,71,2,64,9,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,72,1,73,0,73,0,72,1,71,2,68,5,67,6,67,6,69,4,67,6,71,2,59,14,72,1,73,0,73,0,46,27,73,0,73,0,73,0,72,1,69,4
alkaloid,isoquinoline,w/o,248004,183868,64136,246868,1136,222217,25787,234536,13468,241286,6718,247806,198,247993,11,247877,127,245483,2521,247807,197,247988,16,247965,39,246744,1260,247070,934,247943,61,247884,120,230732,17272,227570,20434,243282,4722,241955,6049,233001,15003,225602,22402,246910,1094,239065,8939,240573,7431,246796,1208,237735,10269,207145,40859,242929,5075,247932,72,245512,2492,240988,7016,221528,26476
alkaloid,isoquinoline,w/,2078,1934,144,2076,2,1924,154,1934,144,2057,21,2076,2,2078,0,2078,0,2072,6,2075,3,2078,0,2078,0,2071,7,2075,3,2078,0,2077,1,1977,101,1944,134,1989,89,2029,49,1973,105,1969,109,2062,16,1752,326,2017,61,2073,5,1973,105,1428,650,2043,35,2078,0,2059,19,2047,31,1883,195
alkaloid,isoxazole,w/o,247562,183412,64150,246426,1136,221705,25857,234092,13470,240843,6719,247362,200,247551,11,247435,127,245039,2523,247376,186,247547,15,247523,39,246300,1262,246627,935,247501,61,247441,121,230654,16908,227232,20330,242831,4731,241502,6060,232678,14884,225238,22324,246504,1058,238533,9029,240579,6983,246351,1211,237267,10295,206426,41136,242508,5054,247492,70,245078,2484,240567,6995,221167,26395
alkaloid,isoxazole,w/,2520,2390,130,2518,2,2436,84,2378,142,2500,20,2520,0,2520,0,2520,0,2516,4,2506,14,2519,1,2520,0,2515,5,2518,2,2520,0,2520,0,2055,465,2282,238,2440,80,2482,38,2296,224,2333,187,2468,52,2284,236,2011,509,2518,2,2441,79,2147,373,2464,56,2518,2,2493,27,2468,52,2244,276
alkaloid,muscarine,w/o,250003,185725,64278,248865,1138,224063,25940,236404,13599,243264,6739,249803,200,249992,11,249876,127,247476,2527,249803,200,249987,16,249964,39,248736,1267,249066,937,249942,61,249882,121,232638,17365,229436,20567,245192,4811,243905,6098,234896,15107,227492,22511,248893,1110,240740,9263,242514,7489,248790,1213,239654,10349,208496,41507,244895,5108,249931,72,247495,2508,242960,7043,223351,26652
alkaloid,muscarine,w/,79,77,2,79,0,78,1,66,13,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,71,8,78,1,79,0,79,0,78,1,79,0,79,0,77,2,76,3,79,0,54,25,77,2,77,2,79,0,76,3,75,4,60,19
alkaloid,oxazole,w/o,248164,183956,64208,247027,1137,222389,25775,234626,13538,241452,6712,247964,200,248153,11,248037,127,245641,2523,247971,193,248148,16,248125,39,246900,1264,247231,933,248103,61,248043,121,230954,17210,227856,20308,243414,4750,242151,6013,233267,14897,225827,22337,247062,1102,238994,9170,240736,7428,246953,1211,237915,10249,207062,41102,243112,5052,248092,72,245671,2493,241137,7027,221741,26423
alkaloid,oxazole,w/,1918,1846,72,1917,1,1752,166,1844,74,1891,27,1918,0,1918,0,1918,0,1914,4,1911,7,1918,0,1918,0,1915,3,1914,4,1918,0,1918,0,1755,163,1658,260,1857,61,1833,85,1707,211,1744,174,1910,8,1823,95,1854,64,1916,2,1793,125,1511,407,1860,58,1918,0,1900,18,1898,20,1670,248
alkaloid,phenylethylamine,w/o,250013,185736,64277,248875,1138,224085,25928,236423,13590,243280,6733,249814,199,250002,11,249886,127,247486,2527,249813,200,249997,16,249974,39,248748,1265,249076,937,249952,61,249892,121,232641,17372,229447,20566,245203,4810,243918,6095,234906,15107,227506,22507,248903,1110,240750,9263,242521,7492,248800,1213,239642,10371,208510,41503,244903,5110,249941,72,247502,2511,242967,7046,223351,26662
alkaloid,phenylethylamine,w/,69,66,3,69,0,56,13,47,22,63,6,68,1,69,0,69,0,69,0,69,0,69,0,69,0,67,2,69,0,69,0,69,0,68,1,67,2,68,1,66,3,68,1,65,4,69,0,67,2,69,0,69,0,66,3,63,6,69,0,69,0,69,0,68,1,60,9
alkaloid,piperidine,w/o,243430,179740,63690,242293,1137,217787,25643,230102,13328,236757,6673,243231,199,243419,11,243303,127,240910,2520,243235,195,243414,16,243391,39,242165,1265,242497,933,243369,61,243309,121,226499,16931,223240,20190,238729,4701,237776,5654,228566,14864,221154,22276,242351,1079,234481,8949,236402,7028,242262,1168,234072,9358,203006,40424,238798,4632,243358,72,241352,2078,236492,6938,217567,25863
alkaloid,piperidine,w/,6652,6062,590,6651,1,6354,298,6368,284,6586,66,6651,1,6652,0,6652,0,6645,7,6647,5,6652,0,6652,0,6650,2,6648,4,6652,0,6652,0,6210,442,6274,378,6542,110,6208,444,6408,244,6417,235,6621,31,6336,316,6188,464,6607,45,5636,1016,5567,1085,6174,478,6652,0,6219,433,6543,109,5844,808
alkaloid,purine,w/o,245126,181214,63912,244008,1118,219565,25561,231702,13424,238457,6669,244926,200,245115,11,245000,126,242671,2455,244927,199,245110,16,245089,37,243862,1264,244216,910,245065,61,245007,119,227919,17207,224683,20443,240412,4714,239125,6001,230131,14995,222718,22408,244053,1073,236745,8381,237918,7208,243924,1202,235228,9898,204805,40321,240205,4921,245054,72,242633,2493,238194,6932,219155,25971
alkaloid,purine,w/,4956,4588,368,4936,20,4576,380,4768,188,4886,70,4956,0,4956,0,4955,1,4884,72,4955,1,4956,0,4954,2,4953,3,4929,27,4956,0,4954,2,4790,166,4831,125,4859,97,4859,97,4843,113,4853,103,4919,37,4072,884,4672,284,4945,11,4480,476,3768,1188,4767,189,4956,0,4938,18,4841,115,4256,700
alkaloid,putrescine,w/o,249018,184942,64076,247940,1078,223166,25852,235533,13485,242313,6705,248818,200,249007,11,248899,119,246560,2458,248818,200,249002,16,248980,38,247768,1250,248090,928,248957,61,248898,120,231663,17355,228477,20541,244215,4803,242923,6095,233934,15084,226538,22480,247916,1102,239768,9250,241541,7477,247809,1209,238677,10341,207735,41283,243929,5089,248946,72,246509,2509,242018,7000,222516,26502
alkaloid,putrescine,w/,1064,860,204,1004,60,975,89,937,127,1030,34,1064,0,1064,0,1056,8,995,69,1064,0,1064,0,1063,1,1047,17,1055,9,1064,0,1063,1,1046,18,1037,27,1056,8,1061,3,1040,24,1033,31,1056,8,1049,15,1049,15,1060,4,1031,33,838,226,1043,21,1064,0,1062,2,1017,47,895,169
alkaloid,pyridine,w/o,230535,167305,63230,229404,1131,210022,20513,218311,12224,224541,5994,230340,195,230524,11,230411,124,228041,2494,230383,152,230521,14,230496,39,229297,1238,229625,910,230489,46,230426,109,214321,16214,211101,19434,226268,4267,224666,5869,216500,14035,208945,21590,229470,1065,222237,8298,223528,7007,229392,1143,221429,9106,192029,38506,225695,4840,230465,70,228837,1698,223896,6639,205747,24788
alkaloid,pyridine,w/,19547,18497,1050,19540,7,14119,5428,18159,1388,18802,745,19542,5,19547,0,19544,3,19514,33,19499,48,19545,2,19547,0,19518,29,19520,27,19532,15,19535,12,18388,1159,18413,1134,19003,544,19318,229,18474,1073,18626,921,19502,45,18580,967,19062,485,19477,70,18279,1268,16544,3003,19277,270,19545,2,18734,813,19139,408,17664,1883
alkaloid,pyrrolidine,w/o,246783,183282,63501,245645,1138,221132,25651,233419,13364,240079,6704,246583,200,246772,11,246656,127,244259,2524,246591,192,246768,15,246744,39,245519,1264,245856,927,246722,61,246662,121,229620,17163,226454,20329,242047,4736,240901,5882,231803,14980,224393,22390,245682,1101,237874,8909,239356,7427,245582,1201,236571,10212,205874,40909,241758,5025,246711,72,244290,2493,239788,6995,220370,26413
alkaloid,pyrrolidine,w/,3299,2520,779,3299,0,3009,290,3051,248,3264,35,3299,0,3299,0,3299,0,3296,3,3291,8,3298,1,3299,0,3296,3,3289,10,3299,0,3299,0,3089,210,3060,239,3224,75,3083,216,3171,128,3178,121,3290,9,2943,356,3234,65,3287,12,3137,162,2699,600,3214,85,3299,0,3281,18,3247,52,3041,258
alkaloid,pyrrolizidine,w/o,249376,185128,64248,248240,1136,223450,25926,235780,13596,242643,6733,249182,194,249365,11,249251,125,246854,2522,249177,199,249360,16,249337,39,248127,1249,248440,936,249315,61,249266,110,232016,17360,228829,20547,244567,4809,243283,6093,234284,15092,226883,22493,248268,1108,240121,9255,241888,7488,248164,1212,239046,10330,207997,41379,244268,5108,249304,72,246868,2508,242336,7040,223180,26196
alkaloid,pyrrolizidine,w/,706,674,32,704,2,691,15,690,16,700,6,700,6,706,0,704,2,701,5,705,1,706,0,706,0,688,18,705,1,706,0,695,11,693,13,685,21,704,2,701,5,690,16,688,18,704,2,696,10,702,4,705,1,662,44,576,130,704,2,706,0,703,3,699,7,231,475
alkaloid,quinazoline,w/o,247288,183141,64147,246150,1138,221482,25806,233747,13541,240568,6720,247088,200,247277,11,247161,127,244763,2525,247093,195,247273,15,247250,38,246024,1264,246356,932,247227,61,247167,121,230130,17158,226998,20290,242658,4630,241269,6019,232376,14912,224984,22304,246201,1087,238250,9038,239857,7431,246078,1210,237127,10161,206610,40678,242215,5073,247216,72,244820,2468,240311,6977,221045,26243
alkaloid,quinazoline,w/,2794,2661,133,2794,0,2659,135,2723,71,2775,19,2794,0,2794,0,2794,0,2792,2,2789,5,2793,1,2793,1,2791,3,2789,5,2794,0,2794,0,2579,215,2516,278,2613,181,2715,79,2598,196,2587,207,2771,23,2567,227,2733,61,2791,3,2581,213,1963,831,2757,37,2794,0,2751,43,2724,70,2366,428
alkaloid,quinoline,w/o,236777,173070,63707,235643,1134,212090,24687,223575,13202,230198,6579,236578,199,236766,11,236650,127,234267,2510,236584,193,236763,14,236738,39,235531,1246,235912,865,236716,61,236657,120,219998,16779,218647,18130,232315,4462,230836,5941,222755,14022,217369,19408,235772,1005,228021,8756,229689,7088,235653,1124,226952,9825,197320,39457,231847,4930,236717,60,234320,2457,230348,6429,211472,25305
alkaloid,quinoline,w/,13305,12732,573,13301,4,12051,1254,12895,410,13145,160,13304,1,13305,0,13305,0,13288,17,13298,7,13303,2,13305,0,13284,21,13233,72,13305,0,13304,1,12711,594,10867,2438,12956,349,13148,157,12219,1086,10202,3103,13200,105,12796,509,12901,404,13216,89,12756,549,11253,2052,13125,180,13293,12,13251,54,12687,618,11939,1366
alkaloid,quinolizidine,w/o,249930,185653,64277,248793,1137,223995,25935,236327,13603,243192,6738,249730,200,249919,11,249803,127,247406,2524,249730,200,249914,16,249891,39,248667,1263,248993,937,249869,61,249810,120,232571,17359,229374,20556,245124,4806,243839,6091,234830,15100,227431,22499,248820,1110,240690,9240,242440,7490,248717,1213,239560,10370,208477,41453,244820,5110,249858,72,247419,2511,242885,7045,223282,26648
alkaloid,quinolizidine,w/,152,149,3,151,1,146,6,143,9,151,1,152,0,152,0,152,0,149,3,152,0,152,0,152,0,148,4,152,0,152,0,151,1,138,14,140,12,147,5,145,7,144,8,140,12,152,0,127,25,150,2,152,0,148,4,96,56,152,0,152,0,152,0,150,2,129,23
