,,,*,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity,toxicity
,,,Σ,antioxidant,antioxidant,drought,drought,metal,metal,salt,salt,uv,uv,antifeedant,antifeedant,arbuscula,arbuscula,attractant,attractant,germination,germination,herbicidal,herbicidal,hppd,hppd,hyphal,hyphal,phytotoxicity,phytotoxicity,quorum sensing,quorum sensing,repulsive,repulsive,toxicant,toxicant,anti-inflammatory,anti-inflammatory,antibacterial,antibacterial,anticancer,anticancer,antidiabetic,antidiabetic,antifungal,antifungal,antimicrobial,antimicrobial,antiparasitic,antiparasitic,antiviral,antiviral,arthritis,arthritis,burns,burns,cardiovascular,cardiovascular,cytotoxicity,cytotoxicity,obesity,obesity,rheumatism,rheumatism,sedative,sedative,wound,wound,toxicity,toxicity
,,,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/
phenolic compound,anthraquinone,w/o,246045,182489,63556,244909,1136,220470,25575,232626,13419,239474,6571,245848,197,246035,10,245918,127,243540,2505,245849,196,246030,15,246008,37,244814,1231,245121,924,245986,59,245925,120,229017,17028,226041,20004,241345,4700,240092,5953,231230,14815,223936,22109,244945,1100,236900,9145,238608,7437,244844,1201,235726,10319,205524,40521,240989,5056,245973,72,243545,2500,239090,6955,220125,25920
phenolic compound,anthraquinone,w/,4037,3313,724,4035,2,3671,366,3844,193,3869,168,4034,3,4036,1,4037,0,4015,22,4033,4,4036,1,4035,2,4001,36,4024,13,4035,2,4036,1,3692,345,3473,564,3926,111,3892,145,3744,293,3635,402,4027,10,3917,120,3982,55,4025,12,3982,55,3049,988,3983,54,4037,0,4026,11,3945,92,3286,751
phenolic compound,biflavonoids,w/o,249298,185432,63866,248161,1137,223370,25928,235695,13603,242568,6730,249098,200,249287,11,249171,127,246775,2523,249098,200,249282,16,249259,39,248031,1267,248362,936,249237,61,249177,121,232015,17283,228775,20523,244494,4804,243231,6067,234207,15091,226813,22485,248188,1110,240092,9206,241811,7487,248086,1212,238952,10346,207947,41351,244212,5086,249226,72,246788,2510,242264,7034,222659,26639
phenolic compound,biflavonoids,w/,784,370,414,783,1,771,13,775,9,775,9,784,0,784,0,784,0,780,4,784,0,784,0,784,0,784,0,783,1,784,0,784,0,694,90,739,45,777,7,753,31,767,17,758,26,784,0,725,59,779,5,783,1,756,28,626,158,760,24,784,0,783,1,771,13,752,32
phenolic compound,flavonoids,w/o,206831,169221,37610,205976,855,182744,24087,193870,12961,201264,5567,206668,163,206822,9,206708,123,204846,1985,206641,190,206816,15,206795,36,205718,1113,206001,830,206772,59,206718,113,193085,13746,190377,16454,202758,4073,202798,4033,193473,13358,187789,19042,205809,1022,198601,8230,199792,7039,205698,1133,197652,9179,170918,35913,202521,4310,206767,64,204447,2384,200755,6076,183413,23418
phenolic compound,flavonoids,w/,43251,16581,26670,42968,283,41397,1854,42600,651,42079,1172,43214,37,43249,2,43247,4,42709,542,43241,10,43250,1,43248,3,43097,154,43144,107,43249,2,43243,8,39624,3627,39137,4114,42513,738,41186,2065,41501,1750,39782,3469,43163,88,42216,1035,42798,453,43171,80,42056,1195,37655,5596,42451,800,43243,8,43124,127,42280,971,39998,3253
phenolic compound,isoflavanoids,w/o,250080,185800,64280,248942,1138,224139,25941,236468,13612,243341,6739,249880,200,250069,11,249953,127,247553,2527,249880,200,250064,16,250041,39,248813,1267,249143,937,250019,61,249959,121,232707,17373,229514,20566,245269,4811,243982,6098,234972,15108,227569,22511,248970,1110,240815,9265,242588,7492,248867,1213,239706,10374,208571,41509,244970,5110,250008,72,247569,2511,243033,7047,223409,26671
phenolic compound,isoflavanoids,w/,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
phenolic compound,lignans,w/o,247593,184087,63506,246457,1136,221674,25919,234021,13572,240880,6713,247398,195,247582,11,247466,127,245087,2506,247394,199,247577,16,247555,38,246339,1254,246656,937,247533,60,247472,121,230690,16903,227136,20457,242835,4758,241547,6046,232589,15004,225152,22441,246498,1095,238481,9112,240136,7457,246382,1211,237312,10281,206846,40747,242546,5047,247521,72,245092,2501,240586,7007,221062,26531
phenolic compound,lignans,w/,2489,1715,774,2487,2,2467,22,2449,40,2463,26,2484,5,2489,0,2489,0,2468,21,2488,1,2489,0,2488,1,2476,13,2489,0,2488,1,2489,0,2019,470,2378,111,2436,53,2437,52,2385,104,2419,70,2474,15,2336,153,2454,35,2487,2,2396,93,1727,762,2426,63,2489,0,2479,10,2449,40,2349,140
phenolic compound,naphthoquinone,w/o,247216,183315,63901,246079,1137,221443,25773,233708,13508,240526,6690,247019,197,247205,11,247089,127,244706,2510,247019,197,247201,15,247177,39,245960,1256,246285,931,247155,61,247095,121,230058,17158,226955,20261,242535,4681,241147,6069,232418,14798,224913,22303,246148,1068,238065,9151,239743,7473,246012,1204,236870,10346,206856,40360,242125,5091,247144,72,244711,2505,240246,6970,220867,26349
phenolic compound,naphthoquinone,w/,2866,2487,379,2865,1,2698,168,2762,104,2817,49,2863,3,2866,0,2866,0,2849,17,2863,3,2865,1,2866,0,2855,11,2860,6,2866,0,2866,0,2651,215,2559,307,2736,130,2837,29,2556,310,2658,208,2824,42,2752,114,2847,19,2857,9,2838,28,1717,1149,2847,19,2866,0,2860,6,2789,77,2544,322
phenolic compound,phenol,w/o,194844,159196,35648,193948,896,176912,17932,183257,11587,190767,4077,194659,185,194834,10,194734,110,193119,1725,194661,183,194828,16,194809,35,194003,841,194050,794,194805,39,194794,50,179785,15059,178259,16585,190733,4111,190106,4738,181819,13025,176096,18748,193810,1034,186163,8681,187583,7261,193845,999,185298,9546,158576,36268,190437,4407,194776,68,192422,2422,188669,6175,174976,19868
phenolic compound,phenol,w/,55238,26606,28632,54996,242,47229,8009,53213,2025,52576,2662,55223,15,55237,1,55221,17,54436,802,55221,17,55238,0,55234,4,54812,426,55095,143,55216,22,55167,71,52924,2314,51255,3983,54538,700,53878,1360,53155,2083,51475,3763,55162,76,54654,584,55007,231,55024,214,54410,828,49997,5241,54535,703,55234,4,55149,89,54366,872,48435,6803
phenolic compound,phenolic acid,w/o,247603,185202,62401,246485,1118,221756,25847,234029,13574,240951,6652,247406,197,247592,11,247476,127,245182,2421,247404,199,247587,16,247564,39,246367,1236,246671,932,247542,61,247483,120,230363,17240,227167,20436,242815,4788,241565,6038,232576,15027,225243,22360,246494,1109,238358,9245,240117,7486,246392,1211,237270,10333,206231,41372,242516,5087,247531,72,245094,2509,240578,7025,221006,26597
phenolic compound,phenolic acid,w/,2479,600,1879,2459,20,2385,94,2441,38,2392,87,2476,3,2479,0,2479,0,2373,106,2478,1,2479,0,2479,0,2448,31,2474,5,2479,0,2478,1,2346,133,2347,132,2456,23,2419,60,2398,81,2328,151,2478,1,2459,20,2473,6,2477,2,2438,41,2342,137,2456,23,2479,0,2477,2,2457,22,2405,74
phenolic compound,phenylpropanoid,w/o,249205,185295,63910,248115,1090,223284,25921,235621,13584,242495,6710,249007,198,249194,11,249086,119,246709,2496,249006,199,249189,16,249166,39,247949,1256,248271,934,249144,61,249084,121,231923,17282,228705,20500,244398,4807,243126,6079,234149,15056,226761,22444,248099,1106,239975,9230,241719,7486,247993,1212,238842,10363,207835,41370,244097,5108,249133,72,246696,2509,242202,7003,222577,26628
phenolic compound,phenylpropanoid,w/,877,507,370,829,48,857,20,849,28,848,29,875,2,877,0,869,8,846,31,876,1,877,0,877,0,866,11,874,3,877,0,877,0,786,91,809,68,873,4,858,19,825,52,810,67,873,4,842,35,871,6,876,1,866,11,738,139,875,2,877,0,875,2,833,44,834,43
phenolic compound,stilbene,w/o,244819,183033,61786,243686,1133,219083,25736,231334,13485,238246,6573,244622,197,244808,11,244692,127,242317,2502,244619,200,244803,16,244781,38,243559,1260,243894,925,244759,60,244698,121,228162,16657,224405,20414,240122,4697,238843,5976,229862,14957,222437,22382,243719,1100,235674,9145,237381,7438,243618,1201,234714,10105,204410,40409,239950,4869,244747,72,242310,2509,237865,6954,218433,26386
phenolic compound,stilbene,w/,5263,2769,2494,5258,5,5058,205,5136,127,5097,166,5260,3,5263,0,5263,0,5238,25,5263,0,5263,0,5262,1,5256,7,5251,12,5262,1,5263,0,4547,716,5109,154,5149,114,5141,122,5112,151,5134,129,5253,10,5143,120,5209,54,5251,12,4994,269,4163,1100,5022,241,5263,0,5261,2,5170,93,4978,285
phenolic compound,tannin,w/o,238557,179747,58810,237469,1088,213579,24978,225141,13416,232050,6507,238365,192,238546,11,238430,127,236200,2357,238357,200,238541,16,238518,39,237334,1223,237649,908,238498,59,238441,116,221900,16657,220217,18340,233907,4650,233247,5310,224280,14277,217697,20860,237500,1057,229599,8958,231185,7372,237422,1135,228342,10215,198335,40222,233591,4966,238486,71,236093,2464,231957,6600,213493,25064
phenolic compound,tannin,w/,11525,6055,5470,11475,50,10562,963,11329,196,11293,232,11517,8,11525,0,11525,0,11355,170,11525,0,11525,0,11525,0,11481,44,11496,29,11523,2,11520,5,10809,716,9297,2228,11364,161,10737,788,10694,831,9874,1651,11472,53,11218,307,11405,120,11447,78,11366,159,10238,1287,11381,144,11524,1,11478,47,11078,447,9918,1607
phenolic compound,xanthone,w/o,248226,184441,63785,247088,1138,222325,25901,234635,13591,241512,6714,248026,200,248215,11,248099,127,245706,2520,248027,199,248210,16,248187,39,246961,1265,247298,928,248165,61,248106,120,231014,17212,227904,20322,243482,4744,242215,6011,233261,14965,225863,22363,247119,1107,239039,9187,240764,7462,247016,1210,237886,10340,207391,40835,243147,5079,248154,72,245717,2509,241226,7000,221703,26523
phenolic compound,xanthone,w/,1856,1361,495,1856,0,1816,40,1835,21,1831,25,1856,0,1856,0,1856,0,1849,7,1855,1,1856,0,1856,0,1854,2,1847,9,1856,0,1855,1,1695,161,1610,246,1789,67,1769,87,1713,143,1708,148,1853,3,1778,78,1826,30,1853,3,1822,34,1182,674,1825,31,1856,0,1854,2,1809,47,1708,148
polyketide,acetogenin,w/o,249764,185504,64260,248627,1137,223828,25936,236156,13608,243026,6738,249564,200,249753,11,249637,127,247240,2524,249565,199,249748,16,249725,39,248499,1265,248828,936,249703,61,249643,121,232398,17366,229220,20544,244960,4804,243668,6096,234669,15095,227262,22502,248659,1105,240505,9259,242272,7492,248551,1213,239392,10372,208484,41280,244655,5109,249692,72,247253,2511,242719,7045,223127,26637
polyketide,acetogenin,w/,318,298,20,317,1,313,5,314,4,317,1,318,0,318,0,318,0,315,3,317,1,318,0,318,0,316,2,317,1,318,0,318,0,311,7,294,24,311,7,316,2,305,13,309,9,313,5,312,6,318,0,318,0,316,2,89,229,317,1,318,0,318,0,316,2,284,34
polyketide,ansamycin,w/o,249962,185686,64276,248824,1138,224022,25940,236353,13609,243223,6739,249762,200,249951,11,249835,127,247435,2527,249762,200,249946,16,249923,39,248695,1267,249025,937,249901,61,249841,121,232592,17370,229415,20547,245154,4808,243865,6097,234864,15098,227476,22486,248852,1110,240707,9255,242472,7490,248750,1212,239589,10373,208493,41469,244852,5110,249890,72,247451,2511,242917,7045,223308,26654
polyketide,ansamycin,w/,120,116,4,120,0,119,1,117,3,120,0,120,0,120,0,120,0,120,0,120,0,120,0,120,0,120,0,120,0,120,0,120,0,117,3,99,21,117,3,119,1,110,10,95,25,120,0,110,10,118,2,119,1,119,1,80,40,120,0,120,0,120,0,118,2,103,17
polyketide,macrolide,w/o,243024,178818,64206,241889,1135,217246,25778,229489,13535,236319,6705,242824,200,243013,11,242907,117,240518,2506,242826,198,243008,16,242985,39,241770,1254,242139,885,242964,60,242903,121,225913,17111,223652,19372,238283,4741,237029,5995,229015,14009,222899,20125,242075,949,233971,9053,235749,7275,241851,1173,232991,10033,202309,40715,238029,4995,242952,72,240565,2459,236227,6797,217040,25984
polyketide,macrolide,w/,7058,6984,74,7055,3,6895,163,6981,77,7024,34,7058,0,7058,0,7048,10,7037,21,7056,2,7058,0,7058,0,7045,13,7006,52,7057,1,7058,0,6796,262,5862,1196,6988,70,6955,103,5959,1099,4672,2386,6897,161,6846,212,6841,217,7018,40,6717,341,6264,794,6943,115,7058,0,7006,52,6808,250,6371,687
polyketide,polyene,w/o,248635,184429,64206,247498,1137,222790,25845,235072,13563,241938,6697,248435,200,248624,11,248512,123,246118,2517,248436,199,248619,16,248596,39,247372,1263,247703,932,248576,59,248516,119,231286,17349,228130,20505,243830,4805,242538,6097,234445,14190,226217,22418,247529,1106,239396,9239,241157,7478,247430,1205,238279,10356,207253,41382,243533,5102,248563,72,246125,2510,241603,7032,222113,26522
polyketide,polyene,w/,1447,1373,74,1446,1,1351,96,1398,49,1405,42,1447,0,1447,0,1443,4,1437,10,1446,1,1447,0,1447,0,1443,4,1442,5,1445,2,1445,2,1423,24,1384,63,1441,6,1446,1,529,918,1354,93,1443,4,1421,26,1433,14,1439,8,1429,18,1320,127,1439,8,1447,0,1446,1,1432,15,1298,149
polyketide,polyether,w/o,249101,184846,64255,247964,1137,223564,25537,235655,13446,242428,6673,248901,200,249090,11,248974,127,246577,2524,248901,200,249085,16,249062,39,247835,1266,248164,937,249042,59,248981,120,231739,17362,228628,20473,244303,4798,243003,6098,234008,15093,226631,22470,247998,1103,239843,9258,241611,7490,247894,1207,238747,10354,207735,41366,243994,5107,249029,72,246591,2510,242096,7005,222494,26607
polyketide,polyether,w/,981,956,25,980,1,577,404,815,166,915,66,981,0,981,0,981,0,978,3,981,0,981,0,981,0,980,1,981,0,979,2,980,1,970,11,886,95,968,13,981,0,966,15,940,41,974,7,974,7,979,2,975,6,961,20,838,143,978,3,981,0,980,1,939,42,917,64
polyketide,tetracycline,w/o,231979,168191,63788,230855,1124,207489,24490,219131,12848,225459,6520,231779,200,231968,11,231852,127,229522,2457,231780,199,231963,16,231942,37,230767,1212,231236,743,231919,60,231858,121,215040,16939,214772,17207,227211,4768,226146,5833,218093,13886,216563,15416,230945,1034,222892,9087,225422,6557,231138,841,222020,9959,191343,40636,227059,4920,231910,69,229596,2383,226802,5177,207250,24729
polyketide,tetracycline,w/,18103,17611,492,18089,14,16652,1451,17339,764,17884,219,18103,0,18103,0,18103,0,18033,70,18102,1,18103,0,18101,2,18048,55,17909,194,18102,1,18103,0,17669,434,14742,3361,18060,43,17838,265,16881,1222,11008,7095,18027,76,17925,178,17168,935,17731,372,17688,415,17230,873,17913,190,18100,3,17975,128,16233,1870,16161,1942
terpenoid/terpene,diterpene,w/o,246615,182772,63843,245483,1132,220708,25907,233053,13562,239906,6709,246441,174,246604,11,246491,124,244127,2488,246420,195,246599,16,246576,39,245381,1234,245691,924,246554,61,246495,120,229806,16809,226446,20169,241878,4737,240589,6026,231737,14878,224380,22235,245516,1099,237563,9052,239195,7420,245408,1207,236297,10318,206497,40118,241544,5071,246544,71,244112,2503,239636,6979,220256,26359
terpenoid/terpene,diterpene,w/,3467,3030,437,3461,6,3433,34,3417,50,3437,30,3441,26,3467,0,3464,3,3428,39,3462,5,3467,0,3467,0,3434,33,3454,13,3467,0,3466,1,2903,564,3068,399,3393,74,3395,72,3237,230,3191,276,3456,11,3254,213,3395,72,3461,6,3411,56,2076,1391,3428,39,3466,1,3459,8,3399,68,3155,312
terpenoid/terpene,hemiterpene,w/o,249916,185665,64251,248804,1112,224005,25911,236309,13607,243183,6733,249716,200,249905,11,249789,127,247391,2525,249716,200,249901,15,249877,39,248651,1265,248979,937,249855,61,249795,121,232548,17368,229356,20560,245106,4810,243819,6097,234811,15105,227409,22507,248808,1108,240655,9261,242428,7488,248703,1213,239543,10373,208438,41478,244809,5107,249844,72,247405,2511,242870,7046,223263,26653
terpenoid/terpene,hemiterpene,w/,166,137,29,140,26,136,30,161,5,160,6,166,0,166,0,166,0,164,2,166,0,165,1,166,0,164,2,166,0,166,0,166,0,161,5,158,8,165,1,165,1,163,3,162,4,164,2,162,4,162,4,166,0,165,1,135,31,163,3,166,0,166,0,165,1,148,18
terpenoid/terpene,monoterpene,w/o,249303,185230,64073,248218,1085,223377,25926,235704,13599,242573,6730,249109,194,249293,10,249189,114,246808,2495,249108,195,249287,16,249264,39,248068,1235,248371,932,249242,61,249182,121,231989,17314,228852,20451,244506,4797,243213,6090,234291,15012,226927,22376,248198,1105,240054,9249,241816,7487,248091,1212,238935,10368,207931,41372,244197,5106,249232,71,246795,2508,242270,7033,222748,26555
terpenoid/terpene,monoterpene,w/,779,572,207,726,53,764,15,766,13,770,9,773,6,778,1,766,13,747,32,774,5,779,0,779,0,747,32,774,5,779,0,779,0,720,59,662,117,765,14,771,8,683,96,644,135,774,5,763,16,774,5,778,1,773,6,642,137,775,4,778,1,776,3,765,14,663,116
terpenoid/terpene,norisoprenoid,w/o,250004,185742,64262,248867,1137,224067,25937,236394,13610,243270,6734,249804,200,249993,11,249880,124,247478,2526,249804,200,249988,16,249965,39,248739,1265,249067,937,249943,61,249883,121,232646,17358,229443,20561,245194,4810,243907,6097,234901,15103,227497,22507,248894,1110,240741,9263,242512,7492,248791,1213,239630,10374,208517,41487,244894,5110,249932,72,247494,2510,242957,7047,223335,26669
terpenoid/terpene,norisoprenoid,w/,78,60,18,77,1,74,4,76,2,73,5,78,0,78,0,75,3,77,1,78,0,78,0,78,0,76,2,78,0,78,0,78,0,63,15,71,7,77,1,77,1,73,5,74,4,78,0,76,2,78,0,78,0,78,0,56,22,78,0,78,0,77,1,78,0,76,2
terpenoid/terpene,polyterpene,w/o,250079,185799,64280,248941,1138,224138,25941,236467,13612,243340,6739,249879,200,250068,11,249952,127,247552,2527,249879,200,250063,16,250040,39,248812,1267,249142,937,250018,61,249958,121,232706,17373,229511,20568,245268,4811,243981,6098,234971,15108,227569,22510,248969,1110,240814,9265,242587,7492,248866,1213,239705,10374,208570,41509,244969,5110,250007,72,247568,2511,243032,7047,223410,26669
terpenoid/terpene,polyterpene,w/,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,2
terpenoid/terpene,sesquiterpene,w/o,244506,181123,63383,243388,1118,218637,25869,230954,13552,237809,6697,244366,140,244500,6,244410,96,242112,2394,244327,179,244490,16,244472,34,243346,1160,243592,914,244445,61,244385,121,227910,16596,224764,19742,239811,4695,238511,5995,230102,14404,222730,21776,243442,1064,235482,9024,237075,7431,243303,1203,234172,10334,205088,39418,239448,5058,244434,72,242025,2481,237594,6912,218184,26322
terpenoid/terpene,sesquiterpene,w/,5576,4679,897,5556,20,5504,72,5516,60,5534,42,5516,60,5571,5,5545,31,5443,133,5555,21,5576,0,5571,5,5469,107,5553,23,5576,0,5576,0,4799,777,4750,826,5460,116,5473,103,4872,704,4841,735,5530,46,5335,241,5515,61,5566,10,5536,40,3485,2091,5524,52,5576,0,5546,30,5441,135,5227,349
terpenoid/terpene,sesterterpene,w/o,249889,185616,64273,248751,1138,223948,25941,236280,13609,243150,6739,249691,198,249878,11,249762,127,247363,2526,249690,199,249873,16,249850,39,248622,1267,248952,937,249828,61,249768,121,232545,17344,229352,20537,245085,4804,243791,6098,234799,15090,227398,22491,248779,1110,240628,9261,242398,7491,248676,1213,239515,10374,208493,41396,244780,5109,249817,72,247379,2510,242844,7045,223230,26659
terpenoid/terpene,sesterterpene,w/,193,186,7,193,0,193,0,190,3,193,0,191,2,193,0,193,0,192,1,192,1,193,0,193,0,193,0,193,0,193,0,193,0,164,29,162,31,186,7,193,0,175,18,173,20,193,0,189,4,192,1,193,0,193,0,80,113,192,1,193,0,192,1,191,2,181,12
terpenoid/terpene,tetraterpene/carotenoid/xanthophyll,w/o,239238,182734,56504,238462,776,213902,25336,226153,13085,232903,6335,239038,200,239227,11,239114,124,237030,2208,239048,190,239227,11,239203,35,238205,1033,238320,918,239177,61,239119,119,222220,17018,218865,20373,234479,4759,233274,5964,224236,15002,216941,22297,238133,1105,230035,9203,231799,7439,238039,1199,229373,9865,198219,41019,234564,4674,239167,71,236731,2507,232291,6947,213416,25822
terpenoid/terpene,tetraterpene/carotenoid/xanthophyll,w/,10844,3068,7776,10482,362,10239,605,10317,527,10440,404,10844,0,10844,0,10841,3,10525,319,10834,10,10839,5,10840,4,10610,234,10825,19,10844,0,10842,2,10489,355,10649,195,10792,52,10710,134,10738,106,10630,214,10839,5,10782,62,10791,53,10830,14,10335,509,10354,490,10408,436,10843,1,10840,4,10744,100,9995,849
terpenoid/terpene,triterpene,w/o,244281,181206,63075,243146,1135,218392,25889,230729,13552,237588,6693,244113,168,244270,11,244154,127,241786,2495,244083,198,244265,16,244248,33,243030,1251,243358,923,244221,60,244161,120,227900,16381,224216,20065,239618,4663,238521,5760,229518,14763,222144,22137,243201,1080,235330,8951,236931,7350,243092,1189,233993,10288,204954,39327,239305,4976,244211,70,241792,2489,237450,6831,218048,26233
terpenoid/terpene,triterpene,w/,5801,4596,1205,5798,3,5749,52,5741,60,5755,46,5769,32,5801,0,5801,0,5769,32,5799,2,5801,0,5795,6,5785,16,5787,14,5800,1,5800,1,4809,992,5298,503,5653,148,5463,338,5456,345,5427,374,5771,30,5487,314,5659,142,5777,24,5715,86,3619,2182,5667,134,5799,2,5779,22,5585,216,5363,438
