,,,*,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity,toxicity
,,,Σ,antioxidant,antioxidant,drought,drought,metal,metal,salt,salt,uv,uv,antifeedant,antifeedant,arbuscula,arbuscula,attractant,attractant,germination,germination,herbicidal,herbicidal,hppd,hppd,hyphal,hyphal,phytotoxicity,phytotoxicity,quorum sensing,quorum sensing,repulsive,repulsive,toxicant,toxicant,anti-inflammatory,anti-inflammatory,antibacterial,antibacterial,anticancer,anticancer,antidiabetic,antidiabetic,antifungal,antifungal,antimicrobial,antimicrobial,antiparasitic,antiparasitic,antiviral,antiviral,arthritis,arthritis,burns,burns,cardiovascular,cardiovascular,cytotoxicity,cytotoxicity,obesity,obesity,rheumatism,rheumatism,sedative,sedative,wound,wound,toxicity,toxicity
,,,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/
alkaloid,indole,w/o,233401,171430,61971,232356,1045,209369,24032,220617,12784,227049,6352,233205,196,233390,11,233288,113,231102,2299,233208,193,233386,15,233364,37,232194,1207,232653,748,233343,58,233281,120,217277,16124,214155,19246,229157,4244,227637,5764,219162,14239,212098,21303,232356,1045,225119,8282,226307,7094,232217,1184,223923,9478,196121,37280,228713,4688,233341,60,230979,2422,226839,6562,208425,24976
alkaloid,indole,w/,13556,12209,1347,13502,54,12045,1511,12835,721,13268,288,13552,4,13556,0,13543,13,13376,180,13550,6,13556,0,13554,2,13513,43,13387,169,13553,3,13555,1,12514,1042,12507,1049,13067,489,13318,238,12804,752,12751,805,13500,56,12685,871,13243,313,13537,19,12763,793,9836,3720,13212,344,13544,12,13476,80,13198,358,12167,1389
alkaloid,indolizidine,w/o,246884,183567,63317,245785,1099,221343,25541,233388,13496,240244,6640,246684,200,246873,11,246758,126,244405,2479,246685,199,246869,15,246845,39,245635,1249,245967,917,246823,61,246764,120,229720,17164,226594,20290,242157,4727,240888,5996,231897,14987,224782,22102,245785,1099,237745,9139,239478,7406,245681,1203,236613,10271,205911,40973,241852,5032,246812,72,244382,2502,239965,6919,220523,26361
alkaloid,indolizidine,w/,73,72,1,73,0,71,2,64,9,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,72,1,73,0,73,0,72,1,71,2,68,5,67,6,67,6,69,4,67,6,71,2,59,14,72,1,73,0,73,0,46,27,73,0,73,0,73,0,72,1,69,4
alkaloid,isoquinoline,w/o,244905,181726,63179,243808,1097,219513,25392,231544,13361,238286,6619,244707,198,244894,11,244779,126,242432,2473,244709,196,244890,15,244866,39,243662,1243,243991,914,244844,61,244785,120,227838,17067,224742,20163,240258,4647,238952,5953,230018,14887,222905,22000,243820,1085,236077,8828,237558,7347,243707,1198,234739,10166,204544,40361,239908,4997,244833,72,242422,2483,238013,6892,218732,26173
alkaloid,isoquinoline,w/,2052,1913,139,2050,2,1901,151,1908,144,2031,21,2050,2,2052,0,2052,0,2046,6,2049,3,2052,0,2052,0,2045,7,2049,3,2052,0,2051,1,1953,99,1920,132,1966,86,2003,49,1948,104,1944,108,2036,16,1727,325,1992,60,2047,5,1947,105,1413,639,2017,35,2052,0,2033,19,2024,28,1860,192
alkaloid,isoxazole,w/o,244454,181265,63189,243357,1097,218992,25462,231087,13367,237834,6620,244254,200,244443,11,244328,126,241979,2475,244269,185,244440,14,244415,39,243209,1245,243539,915,244393,61,244333,121,227752,16702,224396,20058,239799,4655,238490,5964,229686,14768,222532,21922,243405,1049,235537,8917,237556,6898,243253,1201,234261,10193,203822,40632,239478,4976,244384,70,241979,2475,237585,6869,218365,26089
alkaloid,isoxazole,w/,2503,2374,129,2501,2,2422,81,2365,138,2483,20,2503,0,2503,0,2503,0,2499,4,2489,14,2502,1,2503,0,2498,5,2501,2,2503,0,2503,0,2039,464,2266,237,2425,78,2465,38,2280,223,2317,186,2451,52,2267,236,1994,509,2501,2,2425,78,2135,368,2447,56,2501,2,2476,27,2452,51,2227,276
alkaloid,muscarine,w/o,246878,183562,63316,245779,1099,221336,25542,233386,13492,240238,6640,246678,200,246867,11,246752,126,244399,2479,246679,199,246863,15,246839,39,245628,1250,245961,917,246817,61,246757,121,229720,17158,226584,20294,242145,4733,240876,6002,231888,14990,224770,22108,245777,1101,237727,9151,239474,7404,245675,1203,236632,10246,205880,40998,241848,5030,246806,72,244379,2499,239962,6916,220532,26346
alkaloid,muscarine,w/,79,77,2,79,0,78,1,66,13,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,71,8,78,1,79,0,79,0,78,1,79,0,79,0,77,2,76,3,79,0,54,25,77,2,77,2,79,0,76,3,75,4,60,19
alkaloid,oxazole,w/o,245055,181808,63247,243957,1098,219675,25380,231623,13432,238442,6613,244855,200,245044,11,244929,126,242580,2475,244863,192,245040,15,245016,39,243808,1247,244142,913,244994,61,244934,121,228052,17003,225017,20038,240383,4672,239138,5917,230273,14782,223117,21938,243962,1093,235997,9058,237711,7344,243854,1201,234909,10146,204458,40597,240080,4975,244983,72,242571,2484,238155,6900,218938,26117
alkaloid,oxazole,w/,1902,1831,71,1901,1,1739,163,1829,73,1875,27,1902,0,1902,0,1902,0,1898,4,1895,7,1902,0,1902,0,1899,3,1898,4,1902,0,1902,0,1739,163,1645,257,1841,61,1817,85,1693,209,1732,170,1894,8,1807,95,1839,63,1900,2,1777,125,1499,403,1845,57,1902,0,1884,18,1882,20,1654,248
alkaloid,phenylethylamine,w/o,246888,183573,63315,245789,1099,221358,25530,233405,13483,240254,6634,246689,199,246877,11,246762,126,244409,2479,246689,199,246873,15,246849,39,245640,1248,245971,917,246827,61,246767,121,229723,17165,226595,20293,242156,4732,240889,5999,231898,14990,224784,22104,245787,1101,237737,9151,239481,7407,245685,1203,236620,10268,205894,40994,241856,5032,246816,72,244386,2502,239969,6919,220532,26356
alkaloid,phenylethylamine,w/,69,66,3,69,0,56,13,47,22,63,6,68,1,69,0,69,0,69,0,69,0,69,0,69,0,67,2,69,0,69,0,69,0,68,1,67,2,68,1,66,3,68,1,65,4,69,0,67,2,69,0,69,0,66,3,63,6,69,0,69,0,69,0,68,1,60,9
alkaloid,piperidine,w/o,240378,177643,62735,239280,1098,215129,25249,227155,13223,233804,6574,240179,199,240367,11,240252,126,237906,2472,240184,194,240363,15,240339,39,239130,1248,239465,913,240317,61,240257,121,223654,16724,220458,19920,235755,4623,234817,5561,225629,14749,218502,21876,239308,1070,231535,8843,233427,6951,239219,1159,231117,9261,200442,39936,235822,4556,240306,72,238307,2071,233564,6814,214812,25566
alkaloid,piperidine,w/,6579,5996,583,6578,1,6285,294,6297,282,6513,66,6578,1,6579,0,6579,0,6572,7,6574,5,6579,0,6579,0,6577,2,6575,4,6579,0,6579,0,6137,442,6204,375,6469,110,6138,441,6337,242,6347,232,6548,31,6269,310,6123,456,6535,44,5569,1010,5515,1064,6103,476,6579,0,6148,431,6473,106,5780,799
alkaloid,purine,w/o,242039,179086,62953,240959,1080,216874,25165,228722,13317,235469,6570,241839,200,242028,11,241914,125,239632,2407,241841,198,242024,15,242002,37,240792,1247,241146,893,241978,61,241920,119,225038,17001,221869,20170,237402,4637,236134,5905,227160,14879,220033,22006,240975,1064,233765,8274,234910,7129,240847,1192,232239,9800,202224,39815,237191,4848,241967,72,239555,2484,235233,6806,216369,25670
alkaloid,purine,w/,4918,4553,365,4899,19,4540,378,4730,188,4848,70,4918,0,4918,0,4917,1,4846,72,4917,1,4918,0,4916,2,4915,3,4894,24,4918,0,4916,2,4753,165,4793,125,4822,96,4821,97,4806,112,4816,102,4881,37,4039,879,4640,278,4907,11,4447,471,3733,1185,4734,184,4918,0,4900,18,4804,114,4223,695
