,,,*,cs,cs,cs,cs
,,,Σ,databases,databases,web,web
,,,w/,w/o,w/,w/o,w/
*,Σ,w/,3444,1119,2325,2199,1245
humanities,linguistics,w/o,295,129,166,153,142
humanities,linguistics,w/,3149,990,2159,2046,1103
humanities,sociology,w/o,3145,988,2157,2044,1101
humanities,sociology,w/,299,131,168,155,144
