,,,*,cs,cs,cs,cs
,,,Σ,databases,databases,web,web
,,,w/,w/o,w/,w/o,w/
*,Σ,w/,3436,1111,2325,2199,1237
humanities,linguistics,w/o,290,126,164,151,139
humanities,linguistics,w/,3146,985,2161,2048,1098
humanities,sociology,w/o,3142,983,2159,2046,1096
humanities,sociology,w/,294,128,166,153,141
