,,,*,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,polyketide,polyketide,polyketide,polyketide,polyketide,polyketide,polyketide,polyketide,polyketide,polyketide,polyketide,polyketide,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene
,,,Σ,acridine,acridine,benzylamine,benzylamine,colchicine,colchicine,cyclopeptide,cyclopeptide,imidazole,imidazole,indole,indole,indolizidine,indolizidine,isoquinoline,isoquinoline,isoxazole,isoxazole,muscarine,muscarine,oxazole,oxazole,phenylethylamine,phenylethylamine,piperidine,piperidine,purine,purine,putrescine,putrescine,pyridine,pyridine,pyrrolidine,pyrrolidine,pyrrolizidine,pyrrolizidine,quinazoline,quinazoline,quinoline,quinoline,quinolizidine,quinolizidine,spermidine,spermidine,spermine,spermine,thiazole,thiazole,tropane,tropane,acetophenone,acetophenone,anthraquinone,anthraquinone,biflavonoids,biflavonoids,flavonoids,flavonoids,isoflavanoids,isoflavanoids,lignans,lignans,naphthoquinone,naphthoquinone,phenol,phenol,phenolic acid,phenolic acid,phenylpropanoid,phenylpropanoid,stilbene,stilbene,tannin,tannin,xanthone,xanthone,acetogenin,acetogenin,ansamycin,ansamycin,macrolide,macrolide,polyene,polyene,polyether,polyether,tetracycline,tetracycline,diterpene,diterpene,hemiterpene,hemiterpene,monoterpene,monoterpene,norisoprenoid,norisoprenoid,polyterpene,polyterpene,sesquiterpene,sesquiterpene,sesterterpene,sesterterpene,tetraterpene/carotenoid/xanthophyll,tetraterpene/carotenoid/xanthophyll,triterpene,triterpene
,,,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/
alkaloid,cyclopeptide,w/,2726,2723,3,2726,0,2724,2,0,2726,2711,15,2696,30,2726,0,2723,3,2718,8,2724,2,2710,16,2726,0,2708,18,2723,3,2725,1,2708,18,2718,8,2726,0,2724,2,2720,6,2725,1,2726,0,2726,0,2689,37,2725,1,2726,0,2720,6,2725,1,2715,11,2726,0,2725,1,2725,1,2710,16,2726,0,2725,1,2723,3,2724,2,2723,3,2726,0,2726,0,2716,10,2720,6,2726,0,2715,11,2725,1,2726,0,2726,0,2726,0,2726,0,2721,5,2726,0,2726,0,2721,5
alkaloid,imidazole,w/o,233263,230555,2708,232427,836,227396,5867,230552,2711,233263,0,220003,13260,233191,72,231376,1887,230789,2474,233184,79,231475,1788,233196,67,226761,6502,228408,4855,232208,1055,215265,17998,230172,3091,232562,701,230524,2739,220310,12953,233114,149,231974,1289,231940,1323,221662,11601,232994,269,231151,2112,229252,4011,232485,778,190258,43005,233261,2,230792,2471,230467,2796,178283,54980,230787,2476,232386,877,228041,5222,221756,11507,231416,1847,232948,315,233144,119,226332,6931,231879,1384,232289,974,215274,17989,229808,3455,233105,158,232485,778,233186,77,233260,3,227710,5553,233071,192,222440,10823,227486,5777
alkaloid,imidazole,w/,16819,16777,42,16795,24,16776,43,16804,15,0,16819,16350,469,16818,1,16628,191,16773,46,16819,0,16689,130,16817,2,16669,150,16718,101,16810,9,15270,1549,16611,208,16814,5,16764,55,16467,352,16816,3,16811,8,16804,15,16355,464,16816,3,16769,50,16793,26,16813,6,16573,246,16819,0,16801,18,16749,70,16561,258,16816,3,16819,0,16778,41,16801,18,16810,9,16816,3,16818,1,16692,127,16756,63,16812,7,16705,114,16807,12,16811,8,16818,1,16818,1,16819,0,16796,23,16818,1,16798,21,16795,24
alkaloid,indole,w/o,236353,233658,2695,235508,845,230546,5807,233657,2696,220003,16350,236353,0,236290,63,234385,1968,233885,2468,236275,78,234488,1865,236284,69,229924,6429,231459,4894,235293,1060,217308,19045,233166,3187,235658,695,233686,2667,223449,12904,236216,137,235065,1288,235023,1330,224601,11752,236096,257,234232,2121,232340,4013,235571,782,193273,43080,236351,2,233872,2481,233517,2836,181474,54879,233880,2473,235480,873,231127,5226,224860,11493,234508,1845,236037,316,236234,119,229317,7036,234911,1442,235374,979,218335,18018,232923,3430,236192,161,235612,741,236278,75,236350,3,230832,5521,236163,190,225555,10798,230584,5769
alkaloid,indole,w/,13729,13674,55,13714,15,13626,103,13699,30,13260,469,0,13729,13719,10,13619,110,13677,52,13728,1,13676,53,13729,0,13506,223,13667,62,13725,4,13227,502,13617,112,13718,11,13602,127,13328,401,13714,15,13720,9,13721,8,13416,313,13714,15,13688,41,13705,24,13727,2,13558,171,13729,0,13721,8,13699,30,13370,359,13723,6,13725,4,13692,37,13697,32,13718,11,13727,2,13728,1,13707,22,13724,5,13727,2,13644,85,13692,37,13724,5,13691,38,13726,3,13729,0,13674,55,13726,3,13683,46,13697,32
alkaloid,indolizidine,w/o,250009,247259,2750,249149,860,244099,5910,247283,2726,233191,16818,236290,13719,250009,0,247935,2074,247489,2520,249930,79,248091,1918,249940,69,243361,6648,245053,4956,248945,1064,230466,19543,246716,3293,249307,702,247215,2794,236706,13303,249866,143,248712,1297,248671,1338,237945,12064,249738,271,247847,2162,245973,4036,249225,784,206758,43251,250007,2,247520,2489,247143,2866,194771,55238,247530,2479,249132,877,244746,5263,238484,11525,248153,1856,249691,318,249889,120,242951,7058,248562,1447,249028,981,231906,18103,246542,3467,249843,166,249230,779,249931,78,250006,3,244433,5576,249816,193,239165,10844,244208,5801
alkaloid,indolizidine,w/,73,73,0,73,0,73,0,73,0,72,1,63,10,0,73,69,4,73,0,73,0,73,0,73,0,69,4,73,0,73,0,69,4,67,6,69,4,73,0,71,2,64,9,73,0,73,0,72,1,72,1,73,0,72,1,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0
alkaloid,isoquinoline,w/o,248004,245275,2729,247151,853,242106,5898,245281,2723,231376,16628,234385,13619,247935,69,248004,0,245486,2518,247925,79,246091,1913,247935,69,241390,6614,243076,4928,246941,1063,228569,19435,244731,3273,247300,704,245237,2767,234888,13116,247860,144,246707,1297,246666,1338,235974,12030,247737,267,245851,2153,243985,4019,247220,784,204784,43220,248002,2,245519,2485,245143,2861,192810,55194,245527,2477,247128,876,242747,5257,236492,11512,246154,1850,247687,317,247884,120,240952,7052,246557,1447,247023,981,229911,18093,244537,3467,247839,165,247227,777,247926,78,248001,3,242434,5570,247812,192,237164,10840,242214,5790
alkaloid,isoquinoline,w/,2078,2057,21,2071,7,2066,12,2075,3,1887,191,1968,110,2074,4,0,2078,2076,2,2078,0,2073,5,2078,0,2040,38,2050,28,2077,1,1966,112,2052,26,2076,2,2051,27,1889,189,2070,8,2078,0,2078,0,2043,35,2073,5,2069,9,2060,18,2078,0,2047,31,2078,0,2074,4,2073,5,2034,44,2076,2,2077,1,2072,6,2065,13,2072,6,2077,1,2078,0,2072,6,2078,0,2078,0,2068,10,2078,0,2077,1,2076,2,2078,0,2078,0,2072,6,2077,1,2074,4,2067,11
alkaloid,isoxazole,w/o,247562,244821,2741,246706,856,241662,5900,244844,2718,230789,16773,233885,13677,247489,73,245486,2076,247562,0,247484,78,245791,1771,247493,69,240961,6601,242620,4942,246498,1064,228117,19445,244276,3286,246856,706,244783,2779,234286,13276,247410,152,246265,1297,246224,1338,235570,11992,247290,272,245413,2149,243527,4035,246778,784,204319,43243,247560,2,245077,2485,244709,2853,192368,55194,245083,2479,246685,877,242306,5256,236038,11524,245706,1856,247245,317,247442,120,240509,7053,246115,1447,246581,981,229466,18096,244097,3465,247396,166,246784,778,247484,78,247559,3,241990,5572,247369,193,236720,10842,241772,5790
alkaloid,isoxazole,w/,2520,2511,9,2516,4,2510,10,2512,8,2474,46,2468,52,2520,0,2518,2,0,2520,2519,1,2373,147,2520,0,2469,51,2506,14,2520,0,2418,102,2507,13,2520,0,2505,15,2491,29,2520,0,2520,0,2520,0,2447,73,2520,0,2507,13,2518,2,2520,0,2512,8,2520,0,2516,4,2507,13,2476,44,2520,0,2520,0,2513,7,2519,1,2520,0,2519,1,2520,0,2515,5,2520,0,2520,0,2513,7,2518,2,2520,0,2519,1,2520,0,2520,0,2516,4,2520,0,2518,2,2509,11
