,,,*,cs,cs,cs,cs
,,,Σ,databases,databases,web,web
,,,w/,w/o,w/,w/o,w/
*,Σ,w/,3446,1120,2326,2200,1246
humanities,linguistics,w/o,296,130,166,153,143
humanities,linguistics,w/,3150,990,2160,2047,1103
humanities,sociology,w/o,3146,988,2158,2045,1101
humanities,sociology,w/,300,132,168,155,145
