,,,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity,toxicity
,,,antioxidant,antioxidant,drought,drought,metal,metal,uv,uv,salt,salt,antifeedant,antifeedant,arbuscula,arbuscula,attractant,attractant,germination,germination,herbicidal,herbicidal,hppd,hppd,hyphal,hyphal,phytotoxicity,phytotoxicity,quorum sensing,quorum sensing,repulsive,repulsive,toxicant,toxicant,antidiabetic,antidiabetic,cardiovascular,cardiovascular,obesity,obesity,rheumatism,rheumatism,antibacterial,antibacterial,antifungal,antifungal,antimicrobial,antimicrobial,antiparasitic,antiparasitic,antiviral,antiviral,anti-inflammatory,anti-inflammatory,arthritis,arthritis,burns,burns,wound,wound,anticancer,anticancer,cytotoxicity,cytotoxicity,sedative,sedative,toxicity,toxicity
,,,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/
alkaloid,indole,w/,12057,1324,13328,53,11899,1482,13098,283,12664,717,13377,4,13381,0,13368,13,13204,177,13375,6,13381,0,13379,2,13339,42,13217,164,13378,3,13380,1,13148,233,12594,787,13040,341,13369,12,12350,1031,12643,738,12589,792,13326,55,12522,859,12357,1024,13071,310,13362,19,13034,347,12895,486,9698,3683,13302,79,12009,1372
alkaloid,indolizidine,w/o,181451,62441,242813,1079,218693,25199,237325,6567,230501,13391,243692,200,243881,11,243766,126,241445,2447,243695,197,243878,14,243853,39,242660,1232,242994,898,243832,60,243773,119,238005,5887,233722,10170,238957,4935,243821,71,223883,20009,229074,14818,222102,21790,242821,1071,234900,8992,227028,16864,236569,7323,242693,1199,237109,6783,239251,4641,203394,40498,241401,2491,217830,26062
alkaloid,indolizidine,w/,71,1,72,0,70,2,72,0,64,8,72,0,72,0,72,0,72,0,72,0,72,0,72,0,71,1,72,0,72,0,71,1,66,6,72,0,72,0,72,0,67,5,68,4,66,6,70,2,58,14,70,2,71,1,72,0,71,1,66,6,45,27,72,0,68,4
alkaloid,isoquinoline,w/o,179632,62304,240859,1077,216884,25052,235389,6547,228679,13257,241738,198,241925,11,241810,126,239495,2441,241742,194,241922,14,241897,39,240710,1226,241041,895,241876,60,241817,119,236092,5844,231870,10066,237035,4901,241865,71,222054,19882,227217,14719,220248,21688,240878,1058,233252,8684,225169,16767,234671,7265,240742,1194,235179,6757,237373,4563,202044,39892,239463,2473,216055,25881
alkaloid,isoquinoline,w/,1890,138,2026,2,1879,149,2008,20,1886,142,2026,2,2028,0,2028,0,2022,6,2025,3,2028,0,2028,0,2021,7,2025,3,2028,0,2027,1,1979,49,1924,104,1994,34,2028,0,1896,132,1925,103,1920,108,2013,15,1706,322,1929,99,1969,59,2023,5,2001,27,1944,84,1395,633,2010,18,1843,185
alkaloid,isoxazole,w/o,179163,62315,240401,1077,216355,25123,234931,6547,228216,13262,241278,200,241467,11,241352,126,239035,2443,241294,184,241465,13,241439,39,240250,1228,240582,896,241418,60,241358,120,235623,5855,231386,10092,236599,4879,241409,69,221700,19778,226878,14600,219867,21611,240456,1022,232705,8773,225074,16404,234663,6815,240281,1197,234745,6733,236908,4570,201317,40161,239014,2464,215685,25793
alkaloid,isoxazole,w/,2359,127,2484,2,2408,78,2466,20,2349,137,2486,0,2486,0,2486,0,2482,4,2473,13,2485,1,2486,0,2481,5,2484,2,2486,0,2486,0,2448,38,2408,78,2430,56,2484,2,2250,236,2264,222,2301,185,2435,51,2253,233,2024,462,1977,509,2484,2,2435,51,2409,77,2122,364,2459,27,2213,273
alkaloid,muscarine,w/o,181445,62440,242806,1079,218685,25200,237318,6567,230499,13386,243685,200,243874,11,243759,126,241438,2447,243688,197,243871,14,243846,39,242652,1233,242987,898,243825,60,243765,120,237992,5893,233740,10145,238952,4933,243814,71,223872,20013,229064,14821,222089,21796,242812,1073,234881,9004,227027,16858,236564,7321,242686,1199,237105,6780,239238,4647,203362,40523,241397,2488,217838,26047
alkaloid,muscarine,w/,77,2,79,0,78,1,79,0,66,13,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,54,25,77,2,79,0,78,1,78,1,79,0,79,0,77,2,71,8,76,3,79,0,75,4,79,0,77,2,76,3,60,19
alkaloid,oxazole,w/o,179705,62371,240998,1078,217033,25043,235536,6540,228750,13326,241876,200,242065,11,241950,126,239633,2443,241886,190,242062,14,242037,39,240846,1230,241182,894,242016,60,241956,120,236268,5808,232031,10045,237198,4878,242005,71,222318,19758,227461,14615,220448,21628,241010,1066,233165,8911,225373,16703,234815,7261,240879,1197,235311,6765,237489,4587,201954,40122,239603,2473,216256,25820
alkaloid,oxazole,w/,1817,71,1887,1,1730,158,1861,27,1815,73,1888,0,1888,0,1888,0,1884,4,1881,7,1888,0,1888,0,1885,3,1884,4,1888,0,1888,0,1803,85,1763,125,1831,57,1888,0,1632,256,1681,207,1720,168,1881,7,1793,95,1725,163,1825,63,1886,2,1869,19,1828,60,1485,403,1870,18,1642,246
alkaloid,phenylethylamine,w/o,181456,62439,242816,1079,218707,25188,237334,6561,230518,13377,243696,199,243884,11,243769,126,241448,2447,243698,197,243881,14,243856,39,242664,1231,242997,898,243835,60,243775,120,238005,5890,233728,10167,238960,4935,243824,71,223883,20012,229074,14821,222103,21792,242822,1073,234891,9004,227030,16865,236571,7324,242696,1199,237112,6783,239249,4646,203376,40519,241404,2491,217838,26057
alkaloid,phenylethylamine,w/,66,3,69,0,56,13,63,6,47,22,68,1,69,0,69,0,69,0,69,0,69,0,69,0,67,2,69,0,69,0,69,0,66,3,66,3,69,0,69,0,67,2,68,1,65,4,69,0,67,2,68,1,69,0,69,0,68,1,68,1,63,6,69,0,60,9
