,,,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity,toxicity
,,,antioxidant,antioxidant,drought,drought,metal,metal,uv,uv,salt,salt,antifeedant,antifeedant,arbuscula,arbuscula,attractant,attractant,germination,germination,herbicidal,herbicidal,hppd,hppd,hyphal,hyphal,phytotoxicity,phytotoxicity,quorum sensing,quorum sensing,repulsive,repulsive,toxicant,toxicant,antidiabetic,antidiabetic,cardiovascular,cardiovascular,obesity,obesity,rheumatism,rheumatism,antibacterial,antibacterial,antifungal,antifungal,antimicrobial,antimicrobial,antiparasitic,antiparasitic,antiviral,antiviral,anti-inflammatory,anti-inflammatory,arthritis,arthritis,burns,burns,wound,wound,anticancer,anticancer,cytotoxicity,cytotoxicity,sedative,sedative,toxicity,toxicity
,,,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/
alkaloid,spermine,w/o,180446,62219,241623,1042,217600,25065,236129,6536,229382,13283,242465,200,242655,10,242539,126,240265,2400,242469,196,242651,14,242626,39,241446,1219,241770,895,242606,59,242545,120,236779,5886,232545,10120,237768,4897,242594,71,222678,19987,227862,14803,220908,21757,241597,1068,233686,8979,225827,16838,235355,7310,241472,1193,235910,6755,238030,4635,202567,40098,240176,2489,216783,25882
alkaloid,spermine,w/,1076,223,1262,37,1163,136,1268,31,1183,116,1299,0,1298,1,1299,0,1252,47,1298,1,1299,0,1299,0,1285,14,1296,3,1298,1,1299,0,1292,7,1249,50,1261,38,1299,0,1272,27,1280,19,1260,39,1294,5,1272,27,1271,28,1285,14,1293,6,1270,29,1287,12,872,427,1297,2,1115,184
alkaloid,thiazole,w/o,170448,61579,230952,1075,207337,24690,225548,6479,222830,9197,231830,197,232016,11,231901,126,229613,2414,231846,181,232013,14,231990,37,230805,1222,231155,872,231968,59,231909,118,226661,5366,222222,9805,227384,4643,231958,69,212989,19038,218133,13894,211002,21025,231088,939,223612,8415,216505,15522,224940,7087,230850,1177,225408,6619,227733,4294,194231,37796,229642,2385,207161,24866
alkaloid,thiazole,w/,11074,863,11933,4,11426,511,11849,88,7735,4202,11934,3,11937,0,11937,0,11904,33,11921,16,11937,0,11935,2,11926,11,11911,26,11936,1,11935,2,11410,527,11572,365,11645,292,11935,2,10961,976,11009,928,11166,771,11803,134,11346,591,10593,1344,11700,237,11915,22,11772,165,11584,353,9208,2729,11831,106,10737,1200
alkaloid,tropane,w/o,181275,62421,242619,1077,218511,25185,237135,6561,230327,13369,243496,200,243685,11,243570,126,241252,2444,243499,197,243683,13,243657,39,242467,1229,242799,897,243636,60,243576,120,237810,5886,233574,10122,238770,4926,243625,71,223687,20009,228876,14820,221903,21793,242624,1072,234707,8989,226841,16855,236377,7319,242498,1198,236917,6779,239051,4645,203201,40495,241209,2487,217700,25996
alkaloid,tropane,w/,247,21,266,2,252,16,262,6,238,30,268,0,268,0,268,0,265,3,268,0,267,1,268,0,264,4,267,1,268,0,268,0,261,7,220,48,259,9,268,0,263,5,266,2,265,3,267,1,251,17,257,11,263,5,267,1,263,5,266,2,238,30,264,4,198,70
phenolic compound,acetophenone,w/o,179882,61957,240763,1076,217020,24819,235357,6482,228674,13165,241641,198,241828,11,241722,117,239406,2433,241645,194,241825,14,241800,39,240610,1229,240953,886,241779,60,241721,118,235979,5860,231730,10109,236937,4902,241768,71,222074,19765,227231,14608,220234,21605,240768,1071,232888,8951,225179,16660,234540,7299,240647,1192,235078,6761,237220,4619,201588,40251,239353,2486,215923,25916
phenolic compound,acetophenone,w/,1640,485,2122,3,1743,382,2040,85,1891,234,2123,2,2125,0,2116,9,2111,14,2122,3,2125,0,2125,0,2121,4,2113,12,2125,0,2123,2,2092,33,2064,61,2092,33,2125,0,1876,249,1911,214,1934,191,2123,2,2070,55,1919,206,2100,25,2118,7,2102,23,2097,28,1851,274,2120,5,1975,150
phenolic compound,anthraquinone,w/o,178281,61741,238945,1077,215180,24842,233620,6402,226814,13208,239825,197,240012,10,239896,126,237597,2425,239829,193,240009,13,239985,37,238824,1198,239137,885,239964,58,239903,119,234270,5752,229906,10116,235138,4884,239951,71,220554,19468,225490,14532,218619,21403,238958,1064,231130,8892,223485,16537,232751,7271,238833,1189,233324,6698,235481,4541,200464,39558,237542,2480,214691,25331
phenolic compound,anthraquinone,w/,3241,701,3940,2,3583,359,3777,165,3751,191,3939,3,3941,1,3942,0,3920,22,3938,4,3941,1,3940,2,3907,35,3929,13,3940,2,3941,1,3801,141,3888,54,3891,51,3942,0,3396,546,3652,290,3549,393,3933,9,3828,114,3613,329,3889,53,3932,10,3856,86,3836,106,2975,967,3931,11,3207,735
phenolic compound,biflavonoids,w/o,181169,62042,242133,1078,218023,25188,236653,6558,229820,13391,243011,200,243200,11,243085,126,240767,2444,243014,197,243197,14,243172,39,241978,1233,242314,897,243151,60,243091,120,237345,5866,233069,10142,238298,4913,243140,71,223240,19971,228406,14805,221440,21771,242138,1073,234261,8950,226431,16780,235891,7320,242013,1198,236437,6774,238571,4640,202836,40375,240721,2490,217177,26034
phenolic compound,biflavonoids,w/,353,400,752,1,740,13,744,9,745,8,753,0,753,0,753,0,750,3,753,0,753,0,753,0,753,0,752,1,753,0,753,0,726,27,725,28,731,22,753,0,710,43,736,17,728,25,753,0,697,56,667,86,749,4,752,1,743,10,746,7,603,150,752,1,721,32
phenolic compound,flavonoids,w/o,165512,36679,201371,820,178754,23437,196752,5439,189409,12782,202028,163,202182,9,202068,123,200253,1938,202004,187,202178,13,202155,36,201105,1086,201397,794,202133,58,202079,112,198265,3926,193183,9008,198014,4177,202128,63,186143,16048,189065,13126,183735,18456,201200,991,194174,8017,188791,13400,195299,6892,201072,1119,196318,5873,198255,3936,167069,35122,199820,2371,179254,22937
phenolic compound,flavonoids,w/,16010,25763,41514,259,40009,1764,40645,1128,41156,617,41736,37,41771,2,41770,3,41264,509,41763,10,41772,1,41770,3,41626,147,41669,104,41771,2,41765,8,39806,1967,40611,1162,41015,758,41765,8,37807,3966,40077,1696,38433,3340,41691,82,40784,989,38307,3466,41341,432,41693,80,40862,911,41062,711,36370,5403,41653,120,38644,3129
phenolic compound,isoflavanoids,w/o,181520,62442,242883,1079,218761,25201,237395,6567,230563,13399,243762,200,243951,11,243836,126,241515,2447,243765,197,243948,14,243923,39,242729,1233,243064,898,243902,60,243842,120,238069,5893,233792,10170,239027,4935,243891,71,223950,20012,229140,14822,222166,21796,242889,1073,234956,9006,227096,16866,236638,7324,242763,1199,237178,6784,239315,4647,203437,40525,241471,2491,217896,26066
phenolic compound,isoflavanoids,w/,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
phenolic compound,lignans,w/o,179862,61685,240470,1077,216368,25179,235006,6541,228188,13359,241352,195,241536,11,241421,126,239120,2427,241351,196,241533,14,241509,38,240327,1220,240649,898,241488,59,241427,120,235704,5843,231466,10081,236673,4874,241476,71,221639,19908,226827,14720,219821,21726,240487,1060,232691,8856,225126,16421,234257,7290,240350,1197,234797,6750,236951,4596,201769,39778,239066,2481,215616,25931
phenolic compound,lignans,w/,1660,757,2415,2,2395,22,2391,26,2377,40,2412,5,2417,0,2417,0,2397,20,2416,1,2417,0,2416,1,2404,13,2417,0,2416,1,2417,0,2367,50,2328,89,2356,61,2417,0,2311,106,2315,102,2347,70,2404,13,2267,150,1972,445,2383,34,2415,2,2383,34,2366,51,1670,747,2407,10,2282,135
phenolic compound,naphthoquinone,w/o,179073,62071,240066,1078,216107,25037,234626,6518,227848,13296,240947,197,241133,11,241018,126,238714,2430,240950,194,241131,13,241105,39,239922,1222,240252,892,241084,60,241024,120,235279,5865,231001,10143,236227,4917,241073,71,221431,19713,226627,14517,219555,21589,240112,1032,232249,8895,224489,16655,233839,7305,239954,1190,234431,6713,236626,4518,201748,39396,238659,2485,215396,25748
phenolic compound,naphthoquinone,w/,2449,371,2819,1,2656,164,2771,49,2717,103,2817,3,2820,0,2820,0,2803,17,2817,3,2819,1,2820,0,2809,11,2814,6,2820,0,2820,0,2792,28,2793,27,2802,18,2820,0,2519,301,2515,305,2613,207,2779,41,2709,111,2609,211,2801,19,2811,9,2749,71,2691,129,1691,1129,2814,6,2502,318
phenolic compound,phenol,w/o,155532,34587,189272,847,172709,17410,186166,3953,178711,11408,189934,185,190109,10,190010,109,188454,1665,189939,180,190105,14,190084,35,189299,820,189359,760,190081,38,190069,50,185533,4586,180756,9363,185852,4267,190052,67,173957,16162,177323,12796,171962,18157,189118,1001,181676,8443,175478,14641,183018,7101,189130,989,184163,5956,186146,3973,154670,35449,187717,2402,170701,19418
phenolic compound,phenol,w/,25990,27855,53613,232,46054,7791,51231,2614,51854,1991,53830,15,53844,1,53828,17,53063,782,53828,17,53845,0,53841,4,53432,413,53707,138,53823,22,53775,70,52538,1307,53038,807,53177,668,53841,4,49993,3852,51819,2026,50206,3639,53773,72,53282,563,51620,2225,53622,223,53635,210,53017,828,53171,674,48769,5076,53756,89,47197,6648
phenolic compound,phenolic acid,w/o,180942,60617,240500,1059,216452,25107,235077,6482,228196,13363,241362,197,241548,11,241433,126,239214,2345,241363,196,241545,14,241520,39,240356,1203,240666,893,241499,60,241440,119,235723,5836,231429,10130,236645,4914,241488,71,221666,19893,226814,14745,219911,21648,240487,1072,232572,8987,224823,16736,234241,7318,240362,1197,234796,6763,236934,4625,201164,40395,239070,2489,215565,25994
phenolic compound,phenolic acid,w/,580,1825,2385,20,2311,94,2320,85,2369,36,2402,3,2405,0,2405,0,2303,102,2404,1,2405,0,2405,0,2375,30,2400,5,2405,0,2404,1,2348,57,2365,40,2384,21,2405,0,2284,121,2328,77,2257,148,2404,1,2386,19,2275,130,2399,6,2403,2,2384,21,2383,22,2275,130,2403,2,2333,72
phenolic compound,phenylpropanoid,w/o,181044,62085,242098,1031,217947,25182,236589,6540,229758,13371,242931,198,243118,11,243011,118,240711,2418,242933,196,243115,14,243090,39,241907,1222,242234,895,243069,60,243009,120,237253,5876,232970,10159,238195,4934,243058,71,223178,19951,228356,14773,221396,21733,242060,1069,234155,8974,226349,16780,235810,7319,241931,1198,236383,6746,238486,4643,202740,40389,240640,2489,217104,26025
phenolic compound,phenylpropanoid,w/,478,357,787,48,816,19,808,27,807,28,833,2,835,0,827,8,806,29,834,1,835,0,835,0,824,11,832,3,835,0,835,0,818,17,824,11,834,1,835,0,772,63,786,49,772,63,831,4,803,32,749,86,830,5,834,1,797,38,831,4,699,136,833,2,794,41
phenolic compound,stilbene,w/o,178777,59967,237670,1074,213746,24998,232341,6403,225471,13273,238547,197,238733,11,238618,126,236321,2423,238547,197,238730,14,238706,38,237518,1226,237858,886,238685,59,238624,120,232972,5772,228842,9902,234048,4696,238673,71,218883,19861,224073,14671,217073,21671,237681,1063,229858,8886,222587,16157,231473,7271,237557,1187,232052,6692,234208,4536,199311,39433,236255,2489,212961,25783
phenolic compound,stilbene,w/,2745,2475,5215,5,5017,203,5056,164,5094,126,5217,3,5220,0,5220,0,5196,24,5220,0,5220,0,5219,1,5213,7,5208,12,5219,1,5220,0,5099,121,4952,268,4981,239,5220,0,5067,153,5069,151,5095,125,5210,10,5100,120,4511,709,5167,53,5208,12,5128,92,5109,111,4128,1092,5218,2,4937,283
phenolic compound,tannin,w/o,175659,57166,231794,1031,208542,24283,226472,6353,219617,13208,232633,192,232814,11,232699,126,230540,2285,232628,197,232811,14,232786,39,231633,1192,231955,870,232767,58,232709,116,227691,5134,222811,10014,228023,4802,232755,70,214968,17857,218815,14010,212636,20189,231799,1026,224111,8714,216648,16177,225615,7210,231704,1121,226456,6369,228328,4497,193531,39294,230378,2447,208315,24510
phenolic compound,tannin,w/,5863,5276,11091,48,10221,918,10925,214,10948,191,11131,8,11139,0,11139,0,10977,162,11139,0,11139,0,11139,0,11098,41,11111,28,11137,2,11135,4,10380,759,10983,156,11006,133,11138,1,8982,2157,10327,812,9532,1607,11092,47,10847,292,10450,689,11025,114,11061,78,10724,415,10989,150,9908,1231,11095,44,9583,1556
phenolic compound,xanthone,w/o,180186,61961,241068,1079,216985,25162,235604,6543,228769,13378,241947,200,242136,11,242021,126,239707,2440,241951,196,242133,14,242108,39,240916,1231,241257,890,242087,60,242028,119,236336,5811,232011,10136,237242,4905,242076,71,222374,19773,227466,14681,220497,21650,241076,1071,233217,8930,225434,16713,234851,7296,240951,1196,235406,6741,237566,4581,202291,39856,239658,2489,216224,25923
phenolic compound,xanthone,w/,1336,481,1817,0,1778,39,1793,24,1796,21,1817,0,1817,0,1817,0,1810,7,1816,1,1817,0,1817,0,1815,2,1809,8,1817,0,1816,1,1735,82,1783,34,1787,30,1817,0,1576,241,1676,141,1671,146,1815,2,1741,76,1664,153,1789,28,1814,3,1774,43,1751,66,1148,669,1815,2,1674,143
polyketide,acetogenin,w/o,181227,62422,242571,1078,218453,25196,237083,6566,230254,13395,243449,200,243638,11,243523,126,241205,2444,243453,196,243635,14,243610,39,242418,1231,242752,897,243589,60,243529,120,237758,5891,233481,10168,238715,4934,243578,71,223658,19991,228840,14809,221862,21787,242581,1068,234649,9000,226790,16859,236325,7324,242450,1199,236867,6782,239008,4641,203352,40297,241158,2491,217617,26032
polyketide,acetogenin,w/,295,20,314,1,310,5,314,1,311,4,315,0,315,0,315,0,312,3,314,1,315,0,315,0,313,2,314,1,315,0,315,0,313,2,313,2,314,1,315,0,292,23,302,13,306,9,310,5,309,6,308,7,315,0,315,0,313,2,309,6,87,228,315,0,281,34
polyketide,ansamycin,w/o,181408,62438,242767,1079,218646,25200,237279,6567,230450,13396,243646,200,243835,11,243720,126,241399,2447,243649,197,243832,14,243807,39,242613,1233,242948,898,243786,60,243726,120,237954,5892,233677,10169,238911,4935,243775,71,223853,19993,229033,14813,222074,21772,242773,1073,234850,8996,226983,16863,236524,7322,242648,1198,237064,6782,239202,4644,203361,40485,241355,2491,217797,26049
polyketide,ansamycin,w/,114,4,118,0,117,1,118,0,115,3,118,0,118,0,118,0,118,0,118,0,118,0,118,0,118,0,118,0,118,0,118,0,117,1,117,1,118,0,118,0,97,21,109,9,94,24,118,0,108,10,115,3,116,2,117,1,116,2,115,3,78,40,118,0,101,17
polyketide,macrolide,w/o,174714,62371,236009,1076,212035,25050,230549,6536,223762,13323,236885,200,237074,11,236969,116,234658,2427,236890,195,237071,14,237046,39,235865,1220,236239,846,237026,59,236965,120,231294,5791,227250,9835,232261,4824,237014,71,218242,18843,223348,13737,217579,19506,236172,913,228284,8801,220479,16606,229973,7112,235926,1159,230541,6544,232506,4579,197339,39746,234645,2440,211695,25390
polyketide,macrolide,w/,6808,71,6876,3,6728,151,6848,31,6803,76,6879,0,6879,0,6869,10,6859,20,6877,2,6879,0,6879,0,6866,13,6827,52,6878,1,6879,0,6777,102,6544,335,6768,111,6879,0,5708,1171,5794,1085,4589,2290,6719,160,6674,205,6619,260,6667,212,6839,40,6639,240,6811,68,6100,779,6828,51,6203,676
polyketide,polyene,w/o,180166,62368,241456,1078,217427,25107,236008,6526,229183,13351,242334,200,242523,11,242412,122,240097,2437,242338,196,242520,14,242495,39,241305,1229,241641,893,242476,58,242416,118,236642,5892,232382,10152,237607,4927,242463,71,222582,19952,228621,13913,220829,21705,241465,1069,233554,8980,225691,16843,235223,7311,241343,1191,235765,6769,237893,4641,202134,40400,240044,2490,216614,25920
polyketide,polyene,w/,1356,74,1429,1,1336,94,1389,41,1382,48,1430,0,1430,0,1426,4,1420,10,1429,1,1430,0,1430,0,1426,4,1425,5,1428,2,1428,2,1429,1,1412,18,1422,8,1430,0,1368,62,521,909,1339,91,1426,4,1404,26,1407,23,1417,13,1422,8,1415,15,1424,6,1305,125,1429,1,1284,146
polyketide,polyether,w/o,180596,62417,241935,1078,218204,24809,236508,6505,229775,13238,242813,200,243002,11,242887,126,240569,2444,242816,197,242999,14,242974,39,241781,1232,242115,898,242955,58,242894,119,237120,5893,232863,10150,238081,4932,242942,71,223091,19922,228206,14807,221256,21757,241947,1066,234014,8999,226158,16855,235691,7322,241820,1193,236268,6745,238379,4634,202625,40388,240523,2490,217011,26002
polyketide,polyether,w/,926,25,950,1,559,392,889,62,790,161,951,0,951,0,951,0,948,3,951,0,951,0,951,0,950,1,951,0,949,2,950,1,951,0,931,20,948,3,951,0,859,92,936,15,912,39,944,7,944,7,940,11,949,2,945,6,912,39,938,13,814,137,950,1,887,64
polyketide,tetracycline,w/o,164460,61976,225371,1065,202589,23847,220076,6360,213778,12658,226236,200,226425,11,226310,126,224054,2382,226240,196,226422,14,226399,37,225252,1184,225722,714,226377,59,226316,120,220808,5628,216669,9767,221684,4752,226368,68,209683,16753,212814,13622,211451,14985,225438,998,217602,8834,209999,16437,220039,6397,225608,828,221484,4952,221831,4605,186745,39691,224072,2364,202267,24169
polyketide,tetracycline,w/,17062,466,17514,14,16174,1354,17321,207,16787,741,17528,0,17528,0,17528,0,17463,65,17527,1,17528,0,17526,2,17479,49,17344,184,17527,1,17528,0,17263,265,17125,403,17345,183,17525,3,14267,3261,16328,1200,10717,6811,17453,75,17356,172,17099,429,16601,927,17157,371,15696,1832,17486,42,16694,834,17401,127,15631,1897
terpenoid/terpene,diterpene,w/o,178519,62015,239460,1074,215367,25167,233996,6538,227185,13349,240360,174,240523,11,240411,123,238126,2408,240342,192,240520,14,240495,39,239334,1200,239649,885,240474,60,240415,119,234713,5821,230420,10114,235635,4899,240464,70,220914,19620,225942,14592,219012,21522,239472,1062,231739,8795,224224,16310,233282,7252,239340,1194,233818,6716,235960,4574,201385,39149,238051,2483,214776,25758
terpenoid/terpene,diterpene,w/,3003,427,3425,5,3396,34,3401,29,3380,50,3404,26,3430,0,3427,3,3391,39,3425,5,3430,0,3430,0,3397,33,3417,13,3430,0,3429,1,3358,72,3374,56,3394,36,3429,1,3036,394,3200,230,3156,274,3419,11,3219,211,2874,556,3358,72,3425,5,3362,68,3357,73,2054,1376,3422,8,3122,308
terpenoid/terpene,hemiterpene,w/o,181390,62413,242748,1055,218631,25172,237242,6561,230408,13395,243603,200,243792,11,243677,126,241358,2445,243606,197,243790,13,243764,39,242572,1231,242905,898,243743,60,243683,120,237911,5892,233634,10169,238871,4932,243732,71,223797,20006,228984,14819,222011,21792,242732,1071,234801,9002,226942,16861,236483,7320,242604,1199,237020,6783,239156,4647,203309,40494,241312,2491,217755,26048
terpenoid/terpene,hemiterpene,w/,132,29,137,24,132,29,155,6,157,4,161,0,161,0,161,0,159,2,161,0,160,1,161,0,159,2,161,0,161,0,161,0,160,1,160,1,158,3,161,0,153,8,158,3,157,4,159,2,157,4,156,5,157,4,161,0,160,1,161,0,130,31,161,0,143,18
terpenoid/terpene,monoterpene,w/o,180984,62254,242209,1029,218052,25186,236680,6558,229851,13387,243044,194,243228,10,243125,113,240821,2417,243046,192,243224,14,243199,39,242036,1202,242344,894,243178,60,243118,120,237353,5885,233073,10165,238306,4932,243168,70,223327,19911,228501,14737,221561,21677,242169,1069,234247,8991,226428,16810,235918,7320,242040,1198,236466,6772,238603,4635,202838,40400,240750,2488,217284,25954
terpenoid/terpene,monoterpene,w/,538,188,676,50,711,15,717,9,714,12,720,6,725,1,713,13,696,30,721,5,726,0,726,0,695,31,722,4,726,0,726,0,718,8,721,5,723,3,725,1,623,103,641,85,607,119,722,4,711,15,670,56,722,4,725,1,714,12,714,12,601,125,723,3,614,112
terpenoid/terpene,norisoprenoid,w/o,181463,62424,242809,1078,218690,25197,237325,6562,230490,13397,243687,200,243876,11,243764,123,241441,2446,243690,197,243873,14,243848,39,242656,1231,242989,898,243827,60,243767,120,237995,5892,233717,10170,238952,4935,243816,71,223880,20007,229070,14817,222095,21792,242814,1073,234883,9004,227035,16852,236563,7324,242688,1199,237103,6784,239241,4646,203384,40503,241397,2490,217823,26064
terpenoid/terpene,norisoprenoid,w/,59,18,76,1,73,4,72,5,75,2,77,0,77,0,74,3,76,1,77,0,77,0,77,0,75,2,77,0,77,0,77,0,76,1,77,0,77,0,77,0,70,7,72,5,73,4,77,0,75,2,63,14,77,0,77,0,77,0,76,1,55,22,76,1,75,2
terpenoid/terpene,polyterpene,w/o,181519,62442,242882,1079,218760,25201,237394,6567,230562,13399,243761,200,243950,11,243835,126,241514,2447,243764,197,243947,14,243922,39,242728,1233,243063,898,243901,60,243841,120,238068,5893,233791,10170,239026,4935,243890,71,223947,20014,229139,14822,222166,21795,242888,1073,234955,9006,227095,16866,236637,7324,242762,1199,237177,6784,239314,4647,203436,40525,241470,2491,217897,26064
terpenoid/terpene,polyterpene,w/,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,2
terpenoid/terpene,sesquiterpene,w/o,176975,61579,237492,1062,213425,25129,232026,6528,225214,13340,238414,140,238548,6,238459,95,236237,2317,238378,176,238540,14,238520,34,237426,1128,237678,876,238494,60,238434,120,232759,5795,228422,10132,233668,4886,238483,71,219341,19213,224422,14132,217466,21088,237525,1029,229782,8772,222434,16120,231285,7269,237365,1189,231894,6660,234021,4533,200066,38488,236093,2461,212829,25725
terpenoid/terpene,sesquiterpene,w/,4547,863,5393,17,5338,72,5371,39,5351,59,5350,60,5405,5,5379,31,5280,130,5389,21,5410,0,5405,5,5305,105,5388,22,5410,0,5410,0,5312,98,5372,38,5361,49,5410,0,4609,801,4720,690,4702,708,5366,44,5176,234,4664,746,5355,55,5400,10,5286,124,5296,114,3373,2037,5380,30,5069,341
terpenoid/terpene,sesterterpene,w/o,181340,62435,242696,1079,218574,25201,237208,6567,230379,13396,243577,198,243764,11,243649,126,241329,2446,243578,197,243761,14,243736,39,242542,1233,242877,898,243715,60,243655,120,237882,5893,233605,10170,238841,4934,243704,71,223791,19984,228971,14804,221999,21776,242702,1073,234773,9002,226937,16838,236452,7323,242576,1199,236993,6782,239134,4641,203363,40412,241285,2490,217721,26054
terpenoid/terpene,sesterterpene,w/,182,7,189,0,189,0,189,0,186,3,187,2,189,0,189,0,188,1,189,0,189,0,189,0,189,0,189,0,189,0,189,0,189,0,189,0,188,1,189,0,159,30,171,18,169,20,189,0,185,4,161,28,188,1,189,0,187,2,183,6,76,113,188,1,177,12
terpenoid/terpene,tetraterpene/carotenoid/xanthophyll,w/o,178534,54855,232655,734,208780,24609,227214,6175,220503,12886,233189,200,233378,11,233266,123,231251,2138,233201,188,233379,10,233354,35,232384,1005,232509,880,233329,60,233271,118,227621,5768,223723,9666,228872,4517,233319,70,213562,19827,218668,14721,211800,21589,232321,1068,224441,8948,216863,16526,226118,7271,232204,1185,226702,6687,228793,4596,193335,40054,230901,2488,208151,25238
terpenoid/terpene,tetraterpene/carotenoid/xanthophyll,w/,2988,7587,10230,345,9983,592,10183,392,10062,513,10575,0,10575,0,10572,3,10266,309,10566,9,10571,4,10571,4,10347,228,10557,18,10575,0,10573,2,10450,125,10071,504,10157,418,10574,1,10388,187,10474,101,10368,207,10570,5,10517,58,10235,340,10522,53,10561,14,10478,97,10524,51,10104,471,10572,3,9747,828
terpenoid/terpene,triterpene,w/o,177099,61285,237308,1076,213234,25150,231863,6521,225044,13340,238216,168,238373,11,238258,126,235969,2415,238189,195,238370,14,238351,33,237167,1217,237500,884,238325,59,238265,119,232807,5577,228295,10089,233576,4808,238315,69,218860,19524,223899,14485,216949,21435,237340,1044,229679,8705,222465,15919,231194,7190,237208,1176,231803,6581,233879,4505,199968,38416,235915,2469,212731,25653
terpenoid/terpene,triterpene,w/,4423,1157,5577,3,5529,51,5534,46,5521,59,5548,32,5580,0,5580,0,5548,32,5578,2,5580,0,5574,6,5564,16,5566,14,5579,1,5579,1,5264,316,5499,81,5453,127,5578,2,5090,490,5243,337,5219,361,5551,29,5279,301,4633,947,5446,134,5557,23,5377,203,5438,142,3471,2109,5558,22,5167,413
