,,,*,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity,toxicity
,,,Σ,antioxidant,antioxidant,drought,drought,metal,metal,salt,salt,uv,uv,antifeedant,antifeedant,arbuscula,arbuscula,attractant,attractant,germination,germination,herbicidal,herbicidal,hppd,hppd,hyphal,hyphal,phytotoxicity,phytotoxicity,quorum sensing,quorum sensing,repulsive,repulsive,toxicant,toxicant,anti-inflammatory,anti-inflammatory,antibacterial,antibacterial,anticancer,anticancer,antidiabetic,antidiabetic,antifungal,antifungal,antimicrobial,antimicrobial,antiparasitic,antiparasitic,antiviral,antiviral,arthritis,arthritis,burns,burns,cardiovascular,cardiovascular,cytotoxicity,cytotoxicity,obesity,obesity,rheumatism,rheumatism,sedative,sedative,wound,wound,toxicity,toxicity
,,,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/
allelopathy,antifeedant,w/o,249882,185610,64272,248744,1138,223942,25940,236270,13612,243143,6739,249882,0,249871,11,249756,126,247359,2523,249683,199,249866,16,249843,39,248626,1256,248945,937,249821,61,249762,120,232510,17372,229317,20565,245071,4811,243785,6097,234786,15096,227378,22504,248773,1109,240617,9265,242390,7492,248669,1213,239508,10374,208376,41506,244772,5110,249810,72,247371,2511,242835,7047,223231,26651
allelopathy,antifeedant,w/,200,192,8,200,0,199,1,200,0,200,0,0,200,200,0,199,1,196,4,199,1,200,0,200,0,189,11,200,0,200,0,199,1,199,1,197,3,200,0,199,1,188,12,193,7,199,1,200,0,200,0,200,0,200,0,197,3,200,0,200,0,200,0,200,0,180,20
allelopathy,arbuscula,w/o,250071,185792,64279,248933,1138,224130,25941,236459,13612,243333,6738,249871,200,250071,0,249944,127,247544,2527,249871,200,250055,16,250032,39,248804,1267,249134,937,250010,61,249950,121,232698,17373,229503,20568,245260,4811,243973,6098,234963,15108,227560,22511,248961,1110,240806,9265,242579,7492,248858,1213,239697,10374,208562,41509,244961,5110,249999,72,247560,2511,243024,7047,223400,26671
allelopathy,arbuscula,w/,11,10,1,11,0,11,0,11,0,10,1,11,0,0,11,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0
allelopathy,attractant,w/o,249955,185675,64280,248817,1138,224014,25941,236343,13612,243217,6738,249756,199,249944,11,249955,0,247428,2527,249755,200,249939,16,249916,39,248688,1267,249018,937,249894,61,249834,121,232582,17373,229387,20568,245144,4811,243857,6098,234847,15108,227445,22510,248845,1110,240690,9265,242463,7492,248742,1213,239581,10374,208446,41509,244845,5110,249883,72,247444,2511,242908,7047,223286,26669
allelopathy,attractant,w/,127,127,0,127,0,127,0,127,0,126,1,126,1,127,0,0,127,127,0,127,0,127,0,127,0,127,0,127,0,127,0,127,0,127,0,127,0,127,0,127,0,127,0,126,1,127,0,127,0,127,0,127,0,127,0,127,0,127,0,127,0,127,0,127,0,125,2
allelopathy,germination,w/o,247555,183773,63782,246484,1071,221727,25828,234061,13494,240852,6703,247359,196,247544,11,247428,127,247555,0,247377,178,247539,16,247522,33,246562,993,246621,934,247494,61,247436,119,230191,17364,227028,20527,242748,4807,241469,6086,232620,14935,225122,22433,246445,1110,238293,9262,240063,7492,246342,1213,237187,10368,206107,41448,242445,5110,247483,72,245044,2511,240514,7041,221082,26473
allelopathy,germination,w/,2527,2029,498,2460,67,2414,113,2409,118,2491,36,2523,4,2527,0,2527,0,0,2527,2505,22,2527,0,2521,6,2253,274,2524,3,2527,0,2525,2,2518,9,2486,41,2523,4,2515,12,2354,173,2449,78,2527,0,2524,3,2527,0,2527,0,2521,6,2466,61,2527,0,2527,0,2527,0,2521,6,2329,198
allelopathy,herbicidal,w/o,249882,185608,64274,248745,1137,223942,25940,236273,13609,243144,6738,249683,199,249871,11,249755,127,247377,2505,249882,0,249870,12,249843,39,248638,1244,248945,937,249821,61,249761,121,232510,17372,229325,20557,245072,4810,243786,6096,234794,15088,227376,22506,248773,1109,240620,9262,242391,7491,248670,1212,239508,10374,208378,41504,244772,5110,249810,72,247371,2511,242836,7046,223221,26661
allelopathy,herbicidal,w/,200,194,6,199,1,199,1,197,3,199,1,199,1,200,0,200,0,178,22,0,200,196,4,200,0,177,23,200,0,200,0,200,0,199,1,189,11,199,1,198,2,180,20,195,5,199,1,197,3,199,1,199,1,200,0,195,5,200,0,200,0,200,0,199,1,190,10
allelopathy,hppd,w/o,250066,185786,64280,248928,1138,224125,25941,236454,13612,243327,6739,249866,200,250055,11,249939,127,247539,2527,249870,196,250066,0,250027,39,248800,1266,249129,937,250005,61,249945,121,232693,17373,229498,20568,245255,4811,243968,6098,234958,15108,227555,22511,248956,1110,240801,9265,242574,7492,248853,1213,239692,10374,208557,41509,244956,5110,249994,72,247555,2511,243019,7047,223396,26670
allelopathy,hppd,w/,16,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,12,4,0,16,16,0,15,1,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,15,1
allelopathy,hyphal,w/o,250043,185765,64278,248905,1138,224103,25940,236432,13611,243304,6739,249843,200,250032,11,249916,127,247522,2521,249843,200,250027,16,250043,0,248776,1267,249106,937,249982,61,249922,121,232670,17373,229475,20568,245232,4811,243945,6098,234949,15094,227536,22507,248933,1110,240778,9265,242551,7492,248830,1213,239669,10374,208535,41508,244933,5110,249971,72,247532,2511,242996,7047,223372,26671
allelopathy,hyphal,w/,39,37,2,39,0,38,1,38,1,39,0,39,0,39,0,39,0,33,6,39,0,39,0,0,39,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,25,14,35,4,39,0,39,0,39,0,39,0,39,0,38,1,39,0,39,0,39,0,39,0,39,0
allelopathy,phytotoxicity,w/o,248815,184787,64028,247686,1129,223026,25789,235227,13588,242084,6731,248626,189,248804,11,248688,127,246562,2253,248638,177,248800,15,248776,39,248815,0,247878,937,248754,61,248695,120,231450,17365,228285,20530,244004,4811,242719,6096,233763,15052,226349,22466,247705,1110,239556,9259,241324,7491,247604,1211,238442,10373,207375,41440,243706,5109,248743,72,246304,2511,241771,7044,222594,26221
allelopathy,phytotoxicity,w/,1267,1015,252,1258,9,1115,152,1243,24,1259,8,1256,11,1267,0,1267,0,993,274,1244,23,1266,1,1267,0,0,1267,1267,0,1267,0,1266,1,1259,8,1229,38,1267,0,1265,2,1211,56,1222,45,1267,0,1261,6,1266,1,1265,2,1266,1,1198,69,1266,1,1267,0,1267,0,1264,3,817,450
