,,,*,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity,toxicity
,,,Σ,antioxidant,antioxidant,drought,drought,metal,metal,salt,salt,uv,uv,antifeedant,antifeedant,arbuscula,arbuscula,attractant,attractant,germination,germination,herbicidal,herbicidal,hppd,hppd,hyphal,hyphal,phytotoxicity,phytotoxicity,quorum sensing,quorum sensing,repulsive,repulsive,toxicant,toxicant,anti-inflammatory,anti-inflammatory,antibacterial,antibacterial,anticancer,anticancer,antidiabetic,antidiabetic,antifungal,antifungal,antimicrobial,antimicrobial,antiparasitic,antiparasitic,antiviral,antiviral,arthritis,arthritis,burns,burns,cardiovascular,cardiovascular,cytotoxicity,cytotoxicity,obesity,obesity,rheumatism,rheumatism,sedative,sedative,wound,wound,toxicity,toxicity
,,,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/
pharmaco,antiviral,w/o,240817,176987,63830,239679,1138,214931,25886,227304,13513,234090,6727,240617,200,240806,11,240690,127,238293,2524,240620,197,240801,16,240778,39,239556,1261,239885,932,240756,61,240698,119,223617,17200,220695,20122,236078,4739,234828,5989,226072,14745,218660,22157,239749,1068,240817,0,233379,7438,239610,1207,230513,10304,201049,39768,235735,5082,240745,72,238312,2505,233819,6998,214382,26435
pharmaco,antiviral,w/,9265,8815,450,9265,0,9210,55,9166,99,9253,12,9265,0,9265,0,9265,0,9262,3,9262,3,9265,0,9265,0,9259,6,9260,5,9265,0,9263,2,9092,173,8819,446,9193,72,9156,109,8902,363,8911,354,9223,42,0,9265,9211,54,9259,6,9195,70,7524,1741,9237,28,9265,0,9259,6,9216,49,9029,236
pharmaco,arthritis,w/o,242590,178580,64010,241452,1138,216667,25923,229047,13543,235852,6738,242390,200,242579,11,242463,127,240063,2527,242391,199,242574,16,242551,39,241324,1266,241655,935,242529,61,242470,120,226522,16068,222077,20513,237785,4805,236536,6054,227540,15050,220199,22391,241486,1104,233379,9211,242590,0,241391,1199,232453,10137,201176,41414,237571,5019,242548,42,240089,2501,235665,6925,216275,26315
pharmaco,arthritis,w/,7492,7222,270,7492,0,7474,18,7423,69,7491,1,7492,0,7492,0,7492,0,7492,0,7491,1,7492,0,7492,0,7491,1,7490,2,7492,0,7491,1,6187,1305,7437,55,7486,6,7448,44,7434,58,7372,120,7486,6,7438,54,0,7492,7478,14,7255,237,7397,95,7401,91,7462,30,7482,10,7370,122,7136,356
pharmaco,burns,w/o,248869,184662,64207,247731,1138,222953,25916,235269,13600,242131,6738,248669,200,248858,11,248742,127,246342,2527,248670,199,248853,16,248830,39,247604,1265,247935,934,248808,61,248748,121,231534,17335,228363,20506,244059,4810,242779,6090,233806,15063,226439,22430,247759,1110,239610,9259,241391,7478,248869,0,238504,10365,207386,41483,243763,5106,248798,71,246366,2503,242216,6653,222260,26609
pharmaco,burns,w/,1213,1140,73,1213,0,1188,25,1201,12,1212,1,1213,0,1213,0,1213,0,1213,0,1212,1,1213,0,1213,0,1211,2,1210,3,1213,0,1213,0,1175,38,1151,62,1212,1,1205,8,1168,45,1132,81,1213,0,1207,6,1199,14,0,1213,1204,9,1187,26,1209,4,1212,1,1205,8,819,394,1151,62
pharmaco,cardiovascular,w/o,239708,176515,63193,238571,1137,213826,25882,226180,13528,232976,6732,239508,200,239697,11,239581,127,237187,2521,239508,200,239692,16,239669,39,238442,1266,238771,937,239647,61,239588,120,222633,17075,219201,20507,234917,4791,233939,5769,224727,14981,217292,22416,238613,1095,230513,9195,232453,7255,238504,1204,239708,0,198353,41355,235096,4612,239636,72,237293,2415,232725,6983,213573,26135
pharmaco,cardiovascular,w/,10374,9287,1087,10373,1,10315,59,10290,84,10367,7,10374,0,10374,0,10374,0,10368,6,10374,0,10374,0,10374,0,10373,1,10374,0,10374,0,10373,1,10076,298,10313,61,10354,20,10045,329,10247,127,10279,95,10359,15,10304,70,10137,237,10365,9,0,10374,10220,154,9876,498,10374,0,10278,96,10310,64,9838,536
pharmaco,cytotoxicity,w/o,208573,148948,59625,207437,1136,183479,25094,196496,12077,201988,6585,208376,197,208562,11,208446,127,206107,2466,208378,195,208557,16,208535,38,207375,1198,207697,876,208512,61,208464,109,192600,15973,190610,17963,205530,3043,202787,5786,194837,13736,187924,20649,207671,902,201049,7524,201176,7397,207386,1187,198353,10220,208573,0,203550,5023,208502,71,206080,2493,202050,6523,184712,23861
pharmaco,cytotoxicity,w/,41509,36854,4655,41507,2,40662,847,39974,1535,41355,154,41506,3,41509,0,41509,0,41448,61,41504,5,41509,0,41508,1,41440,69,41448,61,41509,0,41497,12,40109,1400,38904,2605,39741,1768,41197,312,40137,1372,39647,1862,41301,208,39768,1741,41414,95,41483,26,41355,154,0,41509,41422,87,41508,1,41491,18,40985,524,38699,2810
pharmaco,obesity,w/o,244972,181281,63691,243834,1138,219044,25928,231404,13568,238237,6735,244772,200,244961,11,244845,127,242445,2527,244772,200,244956,16,244933,39,243706,1266,244036,936,244911,61,244851,121,227754,17218,224441,20531,240170,4802,239252,5720,229901,15071,222503,22469,243865,1107,235735,9237,237571,7401,243763,1209,235096,9876,203550,41422,244972,0,244901,71,242471,2501,237971,7001,218431,26541
pharmaco,obesity,w/,5110,4521,589,5110,0,5097,13,5066,44,5106,4,5110,0,5110,0,5110,0,5110,0,5110,0,5110,0,5110,0,5109,1,5109,1,5110,0,5110,0,4955,155,5073,37,5101,9,4732,378,5073,37,5068,42,5107,3,5082,28,5019,91,5106,4,4612,498,5023,87,0,5110,5109,1,5100,10,5064,46,4980,130
pharmaco,rheumatism,w/o,250010,185735,64275,248872,1138,224069,25941,236400,13610,243271,6739,249810,200,249999,11,249883,127,247483,2527,249810,200,249994,16,249971,39,248743,1267,249073,937,249949,61,249889,121,232647,17363,229443,20567,245199,4811,243912,6098,234902,15108,227499,22511,248900,1110,240745,9265,242548,7462,248798,1212,239636,10374,208502,41508,244901,5109,250010,0,247499,2511,242963,7047,223341,26669
pharmaco,rheumatism,w/,72,67,5,72,0,72,0,70,2,72,0,72,0,72,0,72,0,72,0,72,0,72,0,72,0,72,0,72,0,72,0,72,0,62,10,71,1,72,0,72,0,72,0,72,0,72,0,72,0,42,30,71,1,72,0,71,1,71,1,0,72,72,0,72,0,70,2
pharmaco,sedative,w/o,247571,183327,64244,246433,1138,221641,25930,233969,13602,240834,6737,247371,200,247560,11,247444,127,245044,2527,247371,200,247555,16,247532,39,246304,1267,246634,937,247510,61,247450,121,230243,17328,227015,20556,242762,4809,241534,6037,232499,15072,225070,22501,246462,1109,238312,9259,240089,7482,246366,1205,237293,10278,206080,41491,242471,5100,247499,72,247571,0,240535,7036,220998,26573
pharmaco,sedative,w/,2511,2475,36,2511,0,2500,11,2501,10,2509,2,2511,0,2511,0,2511,0,2511,0,2511,0,2511,0,2511,0,2511,0,2511,0,2511,0,2511,0,2466,45,2499,12,2509,2,2450,61,2475,36,2501,10,2510,1,2505,6,2501,10,2503,8,2415,96,2493,18,2501,10,2511,0,0,2511,2500,11,2413,98
pharmaco,wound,w/o,243035,179343,63692,241899,1136,217191,25844,229515,13520,236320,6715,242835,200,243024,11,242908,127,240514,2521,242836,199,243019,16,242996,39,241771,1264,242111,924,242974,61,242914,121,225914,17121,222966,20069,238275,4760,237033,6002,228087,14948,221053,21982,241933,1102,233819,9216,235665,7370,242216,819,232725,10310,202050,40985,237971,5064,242963,72,240535,2500,243035,0,216602,26433
pharmaco,wound,w/,7047,6459,588,7045,2,6950,97,6955,92,7023,24,7047,0,7047,0,7047,0,7041,6,7046,1,7047,0,7047,0,7044,3,7034,13,7047,0,7047,0,6795,252,6548,499,6996,51,6951,96,6887,160,6518,529,7039,8,6998,49,6925,122,6653,394,6983,64,6523,524,7001,46,7047,0,7036,11,0,7047,6809,238
toxicity,toxicity,w/o,223411,162147,61264,222288,1123,198427,24984,210402,13009,216794,6617,223231,180,223400,11,223286,125,221082,2329,223221,190,223396,15,223372,39,222594,817,222496,915,223350,61,223345,66,206949,16462,203427,19984,218762,4649,217769,5642,208907,14504,201511,21900,222372,1039,214382,9029,216275,7136,222260,1151,213573,9838,184712,38699,218431,4980,223341,70,220998,2413,216602,6809,223411,0
toxicity,toxicity,w/,26671,23655,3016,26656,15,25714,957,26068,603,26549,122,26651,20,26671,0,26669,2,26473,198,26661,10,26670,1,26671,0,26221,450,26649,22,26671,0,26616,55,25760,911,26087,584,26509,162,26215,456,26067,604,26060,611,26600,71,26435,236,26315,356,26609,62,26135,536,23861,2810,26541,130,26669,2,26573,98,26433,238,0,26671
